source,target,Time
35701107,14662569,2/7/16 19:18
23039757,2319339266,2/7/16 19:18
243269816,216776631,2/7/16 19:18
2873226371,882315709,2/7/16 19:18
2964200796,269487992,2/7/16 19:18
855314215,1117957238,2/7/16 19:18
143462479,4209511,2/7/16 19:18
2340663337,216776631,2/7/16 19:18
378138964,204832963,2/7/16 19:18
119522223,204832963,2/7/16 19:18
525643462,3110899521,2/7/16 19:18
289351782,1368113348,2/7/16 19:18
2964200796,2319339266,2/7/16 19:18
2756319344,115754870,2/7/16 19:18
2409539810,1380313111,2/7/16 19:18
18967418,122226401,2/7/16 19:18
2814416554,1367531,2/7/16 19:18
98737961,19865528,2/7/16 19:18
1918407614,311625230,2/7/16 19:18
4499009594,1213179745,2/7/16 19:18
266326338,2424639619,2/7/16 19:18
579661604,334921581,2/7/16 19:18
2785095528,751789802,2/7/16 19:18
1218346117,1292849216,2/7/16 19:18
18038834,25635800,2/7/16 19:18
941227472,19638751,2/7/16 19:18
4588157234,330605466,2/7/16 19:18
4230384973,620571475,2/7/16 19:18
3598185072,22869375,2/7/16 19:18
1702628377,1020058453,2/7/16 19:18
1881027883,3365171523,2/7/16 19:18
27005310,356199275,2/7/16 19:18
2598930797,204832963,2/7/16 19:18
2324564131,1141150825,2/7/16 19:18
3260412147,362655140,2/7/16 19:18
1033943323,2361623269,2/7/16 19:18
1226641662,1628887070,2/7/16 19:18
86417717,3707279714,2/7/16 19:18
2403408967,18086787,2/7/16 19:18
37857502,35474261,2/7/16 19:18
3086316936,819998784,2/7/16 19:18
18494369,47285504,2/7/16 19:18
865242169,12648862,2/7/16 19:18
525954207,247503994,2/7/16 19:18
49431141,41758974,2/7/16 19:18
37536623,2747288099,2/7/16 19:18
42488500,2319339266,2/7/16 19:18
2864225615,47285504,2/7/16 19:18
1293377413,3167595848,2/7/16 19:18
612920926,311625230,2/7/16 19:18
266326338,479562736,2/7/16 19:18
1226641662,2218730778,2/7/16 19:18
930887792,22302678,2/7/16 19:18
50691835,17152635,2/7/16 19:18
3354068397,17878322,2/7/16 19:18
2671339993,21431618,2/7/16 19:18
8797722,808014258,2/7/16 19:18
448610056,330036947,2/7/16 19:18
2408407286,15519766,2/7/16 19:18
560833871,589448567,2/7/16 19:18
3207689710,393469195,2/7/16 19:19
182911600,311625230,2/7/16 19:19
33298959,71627462,2/7/16 19:19
4562430621,1339835893,2/7/16 19:19
2429060390,3332044263,2/7/16 19:19
1246900826,17022638,2/7/16 19:19
502639312,2868140876,2/7/16 19:19
34486293,32522055,2/7/16 19:19
18949073,272114651,2/7/16 19:19
66120866,1899052010,2/7/16 19:19
1548767714,19146492,2/7/16 19:19
2735195061,3022045469,2/7/16 19:19
2958966652,47285504,2/7/16 19:19
210973911,1339835893,2/7/16 19:19
408884319,261330050,2/7/16 19:19
221412014,357606935,2/7/16 19:19
105496588,2314055840,2/7/16 19:19
2358672325,423561145,2/7/16 19:19
2156747654,3688835656,2/7/16 19:19
21441975,259395895,2/7/16 19:19
87365879,275718110,2/7/16 19:19
2758503441,26657119,2/7/16 19:19
2479691932,62876792,2/7/16 19:19
2952960674,48185753,2/7/16 19:19
4005092840,87957969,2/7/16 19:19
75877232,29465136,2/7/16 19:19
2372114058,1367531,2/7/16 19:19
122209166,218325695,2/7/16 19:19
4822821425,948979430,2/7/16 19:19
4755442692,620571475,2/7/16 19:19
319432175,825501626,2/7/16 19:19
2873226371,1339835893,2/7/16 19:19
2897586550,33884545,2/7/16 19:19
