Source,Target,Time
584439096,36072276,2016-02-19 12:06:37
45620701,321774180,2016-02-19 12:06:39
82480081,764979343,2016-02-19 12:06:40
513996411,70144495,2016-02-19 12:06:41
15060959,16409683,2016-02-19 12:06:41
424271227,49708023,2016-02-19 12:06:41
822363751,513438857,2016-02-19 12:06:41
3813235755,167964184,2016-02-19 12:06:43
596627575,16409683,2016-02-19 12:06:44
2255609844,18220818,2016-02-19 12:06:45
1927206542,4043100809,2016-02-19 12:06:45
911447790,3328530107,2016-02-19 12:06:47
3207541234,42836285,2016-02-19 12:06:48
4919393139,2998408203,2016-02-19 12:06:48
23912819,117983479,2016-02-19 12:06:51
612057704,22699560,2016-02-19 12:06:52
383418826,16585101,2016-02-19 12:06:52
19164889,1339835893,2016-02-19 12:06:52
2321479686,1339835893,2016-02-19 12:06:53
82480081,371222723,2016-02-19 12:06:53
499617325,1267323062,2016-02-19 12:06:54
21522021,14855994,2016-02-19 12:06:57
241583780,769208504,2016-02-19 12:06:57
286639702,96442308,2016-02-19 12:06:57
4491667763,23721547,2016-02-19 12:07:01
2321479686,1339835893,2016-02-19 12:07:03
2394783036,538467434,2016-02-19 12:07:02
69756625,17174309,2016-02-19 12:07:03
20964739,4826268304,2016-02-19 12:07:03
116960062,46213956,2016-02-19 12:07:05
188328580,94492750,2016-02-19 12:07:05
18662449,24548835,2016-02-19 12:07:05
1271028361,365889796,2016-02-19 12:07:06
233308471,2739596257,2016-02-19 12:07:06
547670000,17174309,2016-02-19 12:07:06
18662449,36860088,2016-02-19 12:07:06
33623630,1026679093,2016-02-19 12:07:09
18662449,442178908,2016-02-19 12:07:10
71059357,16409683,2016-02-19 12:07:11
1035794886,16409683,2016-02-19 12:07:11
4853969889,91882544,2016-02-19 12:07:12
42639357,17243582,2016-02-19 12:07:13
612057704,1917731,2016-02-19 12:07:14
510120656,399065347,2016-02-19 12:07:15
2998926779,16409683,2016-02-19 12:07:16
2937871751,17174309,2016-02-19 12:07:17
1387935978,4834339845,2016-02-19 12:07:18
591297698,108256522,2016-02-19 12:07:18
1354949786,1489160666,2016-02-19 12:07:19
3212257245,42836285,2016-02-19 12:07:19
793515188,2359735971,2016-02-19 12:07:21
1423647433,36072276,2016-02-19 12:07:23
787484389,1695830984,2016-02-19 12:07:25
183753455,93069110,2016-02-19 12:07:25
455764741,20776147,2016-02-19 12:07:26
18946095,34927577,2016-02-19 12:07:27
612057704,16157204,2016-02-19 12:07:28
30688007,16409683,2016-02-19 12:07:34
3358652128,3945784187,2016-02-19 12:07:35
832442269,39308549,2016-02-19 12:07:36
545477814,124896632,2016-02-19 12:07:36
3356914120,538467434,2016-02-19 12:07:36
1142457175,125453969,2016-02-19 12:07:36
4919568105,2998455941,2016-02-19 12:07:36
183753455,17050431,2016-02-19 12:07:37
156612083,150135224,2016-02-19 12:07:39
372998146,10774652,2016-02-19 12:07:40
14269768,14050550,2016-02-19 12:07:40
570859259,263768374,2016-02-19 12:07:41
155706425,358410527,2016-02-19 12:07:42
32828718,764979343,2016-02-19 12:07:43
2189130356,166329578,2016-02-19 12:07:44
4491667763,4180378753,2016-02-19 12:07:44
814515079,85414958,2016-02-19 12:07:50
120181792,383418826,2016-02-19 12:07:50
1096721713,216776631,2016-02-19 12:07:50
215829302,28622119,2016-02-19 12:07:50
3945784187,4493736743,2016-02-19 12:07:51
96462821,40713876,2016-02-19 12:07:51
4919598273,2998408203,2016-02-19 12:07:52
166351626,16409683,2016-02-19 12:07:53
252409324,16409683,2016-02-19 12:07:55
3325759102,42836285,2016-02-19 12:07:55
831017580,1132342340,2016-02-19 12:07:56
24605482,254117355,2016-02-19 12:07:58
3945784187,4493736743,2016-02-19 12:07:58
