Source,Target,Time
3598959794,17980523,2016-02-19 13:53:53
1048275546,13850422,2016-02-19 13:53:56
1227326366,1379288282,2016-02-19 13:53:56
745210315,3308560736,2016-02-19 13:54:00
128790234,24439201,2016-02-19 13:54:01
631298141,144570961,2016-02-19 13:54:02
2164905286,380285402,2016-02-19 13:54:03
4834032585,4813655555,2016-02-19 13:54:03
403510435,23022687,2016-02-19 13:54:05
186278633,328878936,2016-02-19 13:54:05
4821174091,31081124,2016-02-19 13:54:05
228004532,3063624208,2016-02-19 13:54:06
2554580437,18839937,2016-02-19 13:54:06
531526536,3121646020,2016-02-19 13:54:06
1377185004,2905099385,2016-02-19 13:54:06
2199882087,23022687,2016-02-19 13:54:10
465701566,13850422,2016-02-19 13:54:11
1190665808,33276161,2016-02-19 13:54:13
387465972,23022687,2016-02-19 13:54:14
40288453,4229766732,2016-02-19 13:54:14
2411835228,74177826,2016-02-19 13:54:14
2861407204,2269619268,2016-02-19 13:54:18
29199006,23022687,2016-02-19 13:54:18
876809623,29417304,2016-02-19 13:54:19
2798770069,23022687,2016-02-19 13:54:19
317284206,2227207840,2016-02-19 13:54:21
631298141,2453675083,2016-02-19 13:54:21
4238209872,1868565306,2016-02-19 13:54:23
2798770069,31081124,2016-02-19 13:54:24
118199574,19479061,2016-02-19 13:54:25
272172091,13850422,2016-02-19 13:54:25
4821941002,714544105,2016-02-19 13:54:28
20618180,23022687,2016-02-19 13:54:29
336199649,29417304,2016-02-19 13:54:30
339423477,380285402,2016-02-19 13:54:31
36662949,21537009,2016-02-19 13:54:31
27564314,29417304,2016-02-19 13:54:33
694961337856868353,91441874,2016-02-19 13:54:35
919289756,4729317440,2016-02-19 13:54:37
949821883,16037330,2016-02-19 13:54:38
2535783169,2985614399,2016-02-19 13:54:39
140200890,23022687,2016-02-19 13:54:39
694961337856868353,91441874,2016-02-19 13:54:41
2798770069,22302678,2016-02-19 13:54:41
3364102125,16041234,2016-02-19 13:54:42
2470194618,308534014,2016-02-19 13:54:42
2892926845,16955991,2016-02-19 13:54:43
745210315,17980523,2016-02-19 13:54:45
556174549,23022687,2016-02-19 13:54:46
522639979,979485488,2016-02-19 13:54:48
2256483794,2396867761,2016-02-19 13:54:49
3364102125,38032035,2016-02-19 13:54:49
2375024005,1395555876,2016-02-19 13:54:52
2535783169,193710120,2016-02-19 13:54:52
46195585,431917957,2016-02-19 13:54:53
3885743418,3108351,2016-02-19 13:54:53
134151257,759251,2016-02-19 13:54:58
3430464335,144570961,2016-02-19 13:54:58
2535783169,179988365,2016-02-19 13:54:59
3439536453,31081124,2016-02-19 13:55:02
3226823395,3108351,2016-02-19 13:55:06
1400943320,3058503729,2016-02-19 13:55:06
403510435,18906561,2016-02-19 13:55:07
4904353455,280664117,2016-02-19 13:55:07
67293615,22302678,2016-02-19 13:55:09
458217937,3314758074,2016-02-19 13:55:10
2946045317,2321139450,2016-02-19 13:55:10
15786332,2347049341,2016-02-19 13:55:10
30636052,13850422,2016-02-19 13:55:11
85386747,4121225056,2016-02-19 13:55:13
960623388,73408582,2016-02-19 13:55:14
3677191456,759251,2016-02-19 13:55:17
2535783169,341798242,2016-02-19 13:55:17
4559731032,23022687,2016-02-19 13:55:18
4853913459,4708379511,2016-02-19 13:55:18
89074810,21866516,2016-02-19 13:55:19
273492660,254117355,2016-02-19 13:55:19
40288453,799257301,2016-02-19 13:55:19
631298141,611350965,2016-02-19 13:55:20
34929519,714544105,2016-02-19 13:55:20
522639979,979485488,2016-02-19 13:55:20
2579934596,431917957,2016-02-19 13:55:20
563395284,4729317440,2016-02-19 13:55:24
4872717771,23022687,2016-02-19 13:55:26
4834032585,955736706,2016-02-19 13:55:32
16466727,3448846420,2016-02-19 13:55:33
2431107457,16955991,2016-02-19 13:55:34
2407036753,617246776,2016-02-19 13:55:35
472188279,59674605,2016-02-19 13:55:37
2282964300,29417304,2016-02-19 13:55:37
3245952264,3448846420,2016-02-19 13:55:37
60747339,31081124,2016-02-19 13:55:38
19119868,2347049341,2016-02-19 13:55:38
48419788,21348880,2016-02-19 13:55:39
1722709940,3108351,2016-02-19 13:55:41
543101673,72424931,2016-02-19 13:55:41
2535783169,1235999401,2016-02-19 13:55:41
403510435,284597383,2016-02-19 13:55:42
2810115234,380285402,2016-02-19 13:55:43
2934603574,25073877,2016-02-19 13:55:44
406508582,23022687,2016-02-19 13:55:47
3351746294,22936237,2016-02-19 13:55:47
24568985,2723265539,2016-02-19 13:55:48
410056274,400740241,2016-02-19 13:55:48
2966330752,23022687,2016-02-19 13:55:49
611231642,254117355,2016-02-19 13:55:50
935212483,799257301,2016-02-19 13:55:50
426209471,3108351,2016-02-19 13:55:50
478038088,18492940,2016-02-19 13:55:50
4834032585,117509692,2016-02-19 13:55:54
26285826,24439201,2016-02-19 13:55:54
2966330752,16031927,2016-02-19 13:55:54
2500721814,14662354,2016-02-19 13:55:56
2582736318,2985614399,2016-02-19 13:55:57
182265955,1686370159,2016-02-19 13:55:57
408121047,296704143,2016-02-19 13:55:58
2288799413,345057428,2016-02-19 13:55:58
118541441,431917957,2016-02-19 13:55:59
406508582,31081124,2016-02-19 13:55:59
4519799173,105329640,2016-02-19 13:55:59
40074518,138409823,2016-02-19 13:55:59
85015148,19173787,2016-02-19 13:56:00
304140582,23022687,2016-02-19 13:56:01
3351746294,1586296735,2016-02-19 13:56:01
3586652594,2864045942,2016-02-19 13:56:01
3610873936,21348880,2016-02-19 13:56:03
196182278,11866582,2016-02-19 13:56:04
4244457140,328878936,2016-02-19 13:56:04
3407317754,328878936,2016-02-19 13:56:04
458217937,4196436912,2016-02-19 13:56:06
513087375,23022687,2016-02-19 13:56:07
122196219,1367531,2016-02-19 13:56:10
61735353,23022687,2016-02-19 13:56:10
555503622,23022687,2016-02-19 13:56:10
2346296096,33276161,2016-02-19 13:56:10
345343418,4121225056,2016-02-19 13:56:11
187102493,16955991,2016-02-19 13:56:11
276295578,23022687,2016-02-19 13:56:12
1377185004,3948421274,2016-02-19 13:56:12
458217937,2845681325,2016-02-19 13:56:13
38644197,1553281753,2016-02-19 13:56:13
35806119,67293615,2016-02-19 13:56:14
4639351458,20464768,2016-02-19 13:56:14
1063782854,3158469199,2016-02-19 13:56:15
627099243,23022687,2016-02-19 13:56:15
406508582,18208120,2016-02-19 13:56:16
305736905,1174762118,2016-02-19 13:56:16
4420881087,3314758074,2016-02-19 13:56:18
3272248910,328878936,2016-02-19 13:56:18
946600968,105329640,2016-02-19 13:56:19
3836570242,18678924,2016-02-19 13:56:19
2535783169,250449199,2016-02-19 13:56:20
382728933,1586296735,2016-02-19 13:56:20
3439522222,35216399,2016-02-19 13:56:21
3439536453,4229766732,2016-02-19 13:56:21
305736905,144570961,2016-02-19 13:56:22
867019993,2347049341,2016-02-19 13:56:22
201035498,3087045099,2016-02-19 13:56:22
2448319279,16031927,2016-02-19 13:56:23
342737639,26156279,2016-02-19 13:56:24
1965915697,29417304,2016-02-19 13:56:24
2619163263,1921950984,2016-02-19 13:56:25
118199574,3024173603,2016-02-19 13:56:30
4821941002,3033497973,2016-02-19 13:56:31
2500721814,617246776,2016-02-19 13:56:31
968220217,4729317440,2016-02-19 13:56:31
475158308,65493023,2016-02-19 13:56:33
406508582,22302678,2016-02-19 13:56:35
36172031,190603804,2016-02-19 13:56:35
4446803592,15513604,2016-02-19 13:56:35
304140582,799257301,2016-02-19 13:56:41
16811880,4229766732,2016-02-19 13:56:42
4912849638,16955991,2016-02-19 13:56:42
478007109,26156279,2016-02-19 13:56:42
458015801,16088522,2016-02-19 13:56:43
4064331736,328878936,2016-02-19 13:56:43
211445666,6724252,2016-02-19 13:56:44
168391114,2347049341,2016-02-19 13:56:44
62447206,31081124,2016-02-19 13:56:45
4709748796,3069978481,2016-02-19 13:56:46
406508582,23022687,2016-02-19 13:56:47
4821941002,116015269,2016-02-19 13:56:49
4834032585,119735945,2016-02-19 13:56:50
169347157,16389971,2016-02-19 13:56:51
20094078,2347049341,2016-02-19 13:56:53
867019993,16955991,2016-02-19 13:56:54
385436624,4417558281,2016-02-19 13:56:55
2725911162,753466388,2016-02-19 13:56:56
406508582,411150359,2016-02-19 13:56:57
40074518,33276161,2016-02-19 13:56:58
500530956,759251,2016-02-19 13:56:58
1292405179,23022687,2016-02-19 13:56:58
4709748796,1656685598,2016-02-19 13:56:59
12955332,4064968773,2016-02-19 13:57:00
35739414,568151409,2016-02-19 13:57:02
125448135,31081124,2016-02-19 13:57:03
4452743837,328878936,2016-02-19 13:57:03
276157427,3448846420,2016-02-19 13:57:03
406508582,3392623414,2016-02-19 13:57:06
12955332,16031927,2016-02-19 13:57:07
695658766256185344,759251,2016-02-19 13:57:08
631298141,144570961,2016-02-19 13:57:08
899497994,11866582,2016-02-19 13:57:08
329380833,29417304,2016-02-19 13:57:10
3110938738,144570961,2016-02-19 13:57:11
373161024,23022687,2016-02-19 13:57:11
882566304,620571475,2016-02-19 13:57:11
3351746294,1586296735,2016-02-19 13:57:12
153964509,23022687,2016-02-19 13:57:12
1034046650,23161262,2016-02-19 13:57:13
1470608390,327040510,2016-02-19 13:57:15
221061074,23022687,2016-02-19 13:57:16
168478353,21348880,2016-02-19 13:57:16
362027898,19867280,2016-02-19 13:57:17
30749038,16955991,2016-02-19 13:57:17
30043610,33276161,2016-02-19 13:57:18
458643466,23022687,2016-02-19 13:57:18
62447206,23022687,2016-02-19 13:57:19
3312871303,23022687,2016-02-19 13:57:21
87284816,3087045099,2016-02-19 13:57:21
582158348,978782184,2016-02-19 13:57:21
2500721814,617246776,2016-02-19 13:57:22
2535783169,11073122,2016-02-19 13:57:22
1400943320,110350272,2016-02-19 13:57:23
1373522448,327040510,2016-02-19 13:57:24
1357974110,3108351,2016-02-19 13:57:26
261323350,327040510,2016-02-19 13:57:26
1866263196,18478184,2016-02-19 13:57:27
406508582,71382392,2016-02-19 13:57:28
3228455198,4787536098,2016-02-19 13:57:28
514038892,141667751,2016-02-19 13:57:29
1266835530,327040510,2016-02-19 13:57:29
40277679,18967418,2016-02-19 13:57:30
118541441,17980523,2016-02-19 13:57:31
2886123838,23022687,2016-02-19 13:57:31
129235890,328878936,2016-02-19 13:57:32
18062054,2347049341,2016-02-19 13:57:33
2326545996,380285402,2016-02-19 13:57:33
974812729,139823781,2016-02-19 13:57:34
3312871303,21866516,2016-02-19 13:57:34
577464563,18027868,2016-02-19 13:57:35
