Source,Target,Time
255221268,23813407,2016-02-19 12:44:24
28170270,376876772,2016-02-19 12:44:24
2286417416,216776631,2016-02-19 12:44:24
285004674,454192246,2016-02-19 12:44:25
424414054,47261104,2016-02-19 12:44:25
2475599276,7744592,2016-02-19 12:44:26
196761989,18465936,2016-02-19 12:44:26
2690281202,2941365709,2016-02-19 12:44:26
4578679173,16521206,2016-02-19 12:44:27
1711127359,3287916110,2016-02-19 12:44:28
2741978928,9300262,2016-02-19 12:44:30
16481327,216776631,2016-02-19 12:44:30
20773709,3622368202,2016-02-19 12:44:30
60115467,3130914869,2016-02-19 12:44:31
42291075,16378093,2016-02-19 12:44:32
9215822,17634365,2016-02-19 12:44:32
4894509066,256825879,2016-02-19 12:44:32
4735226715,3090733766,2016-02-19 12:44:34
35336511,67899097,2016-02-19 12:44:34
2432660671,3337804853,2016-02-19 12:44:34
49021031,1339835893,2016-02-19 12:44:35
2861899293,216776631,2016-02-19 12:44:35
2191093538,873377514,2016-02-19 12:44:35
3201150874,14173315,2016-02-19 12:44:35
4894509066,21692297,2016-02-19 12:44:35
4754708235,3090733766,2016-02-19 12:44:36
33318140,373689086,2016-02-19 12:44:36
4728284481,3090733766,2016-02-19 12:44:37
2834486477,31516646,2016-02-19 12:44:40
261442478,23813407,2016-02-19 12:44:40
151318625,372502604,2016-02-19 12:44:41
2955397370,32501175,2016-02-19 12:44:41
32346621,6577642,2016-02-19 12:44:42
60115467,96664718,2016-02-19 12:44:43
896400632,112519014,2016-02-19 12:44:43
3434856443,42836285,2016-02-19 12:44:43
299983531,1339835893,2016-02-19 12:44:44
35678543,1273164162,2016-02-19 12:44:44
17580892,536646582,2016-02-19 12:44:46
115803562,2237276418,2016-02-19 12:44:50
27240262,21461944,2016-02-19 12:44:50
309190582,15754281,2016-02-19 12:44:52
592333524,3269623717,2016-02-19 12:44:55
196761989,18465936,2016-02-19 12:44:55
1129364384,18510860,2016-02-19 12:44:55
3946365557,11856892,2016-02-19 12:44:56
546886420,378241649,2016-02-19 12:44:57
17580892,383294284,2016-02-19 12:44:58
269112897,15978244,2016-02-19 12:44:58
27240262,35773039,2016-02-19 12:45:00
2869288109,24506246,2016-02-19 12:45:00
218466352,324198619,2016-02-19 12:45:01
3313493146,15368940,2016-02-19 12:45:01
92867252,53490475,2016-02-19 12:45:01
3234295855,164937021,2016-02-19 12:45:01
3071572679,27734496,2016-02-19 12:45:04
607558430,813311743,2016-02-19 12:45:05
60115467,2396615286,2016-02-19 12:45:05
2834486477,17167572,2016-02-19 12:45:05
2590218343,3292306583,2016-02-19 12:45:05
22250337,3193944696,2016-02-19 12:45:06
3086914028,273140515,2016-02-19 12:45:06
58693179,21060763,2016-02-19 12:45:06
3436249294,16532762,2016-02-19 12:45:07
2676481292,759251,2016-02-19 12:45:08
3319293586,42836285,2016-02-19 12:45:08
196761989,3287916110,2016-02-19 12:45:09
305017129,42995067,2016-02-19 12:45:11
25688206,81406248,2016-02-19 12:45:11
3436249294,874846453,2016-02-19 12:45:12
4742840597,3090733766,2016-02-19 12:45:12
4444021036,169813810,2016-02-19 12:45:13
113410319,759251,2016-02-19 12:45:14
1921258404,100649666,2016-02-19 12:45:16
2818133449,2337997079,2016-02-19 12:45:16
2367355298,24506246,2016-02-19 12:45:17
1472542232,3622830612,2016-02-19 12:45:17
504695887,59785531,2016-02-19 12:45:17
2191093538,1104111013,2016-02-19 12:45:18
4049811659,3392176918,2016-02-19 12:45:18
4767023074,3090733766,2016-02-19 12:45:20
2191093538,22650211,2016-02-19 12:45:20
2955789098,178876958,2016-02-19 12:45:21
35651385,25694156,2016-02-19 12:45:21
32346621,243267866,2016-02-19 12:45:22
196761989,3253125358,2016-02-19 12:45:22
2834486477,16719435,2016-02-19 12:45:25
3420388094,14173315,2016-02-19 12:45:25
1639605834,216776631,2016-02-19 12:45:25
2521725985,18510860,2016-02-19 12:45:27
4753252337,3090733766,2016-02-19 12:45:28
3314545692,216776631,2016-02-19 12:45:28
1472542232,14173315,2016-02-19 12:45:28
35678543,3292306583,2016-02-19 12:45:31
204809629,455764741,2016-02-19 12:45:31
3228815841,42836285,2016-02-19 12:45:31
2233237531,426802833,2016-02-19 12:45:31
216677271,231510077,2016-02-19 12:45:31
3392386283,14543966,2016-02-19 12:45:33
211914527,14293310,2016-02-19 12:45:34
816116695,3622830612,2016-02-19 12:45:34
210520136,65257429,2016-02-19 12:45:34
1964112182,4429709805,2016-02-19 12:45:34
912993008,32501175,2016-02-19 12:45:36
1609275470,228134082,2016-02-19 12:45:37
2955789098,178876958,2016-02-19 12:45:37
140892845,506127138,2016-02-19 12:45:38
2361760795,873377514,2016-02-19 12:45:39
2191093538,871014848,2016-02-19 12:45:39
196761989,216776631,2016-02-19 12:45:40
2941244524,216776631,2016-02-19 12:45:42
2392789262,3193944696,2016-02-19 12:45:42
212988926,17312357,2016-02-19 12:45:44
1609275470,4458781394,2016-02-19 12:45:45
42291075,376876772,2016-02-19 12:45:46
196761989,2836421,2016-02-19 12:45:46
945863539,1735219130,2016-02-19 12:45:47
816116695,240632124,2016-02-19 12:45:47
4734453688,3090733766,2016-02-19 12:45:47
378520938,18931556,2016-02-19 12:45:48
4747802721,3090733766,2016-02-19 12:45:51
25688206,26822709,2016-02-19 12:45:51
392997120,813311743,2016-02-19 12:45:51
4428884297,42836285,2016-02-19 12:45:52
4744898854,3090733766,2016-02-19 12:45:52
741264625,115754870,2016-02-19 12:45:53
1009956750,75318169,2016-02-19 12:45:53
4205184672,885558410,2016-02-19 12:45:54
1009956750,2287160484,2016-02-19 12:45:55
399588726,14173315,2016-02-19 12:45:55
3643002432,21701757,2016-02-19 12:45:57
43467979,14293310,2016-02-19 12:45:57
2834486477,2732944034,2016-02-19 12:45:58
48451358,115754870,2016-02-19 12:45:59
24636750,18510860,2016-02-19 12:45:59
2762329544,115754870,2016-02-19 12:46:00
924832128,3193944696,2016-02-19 12:46:00
305017129,519728191,2016-02-19 12:46:01
969014287,14543966,2016-02-19 12:46:01
4650714257,3090733766,2016-02-19 12:46:01
37246966,42995067,2016-02-19 12:46:02
61110947,256605991,2016-02-19 12:46:02
83443535,1090035818,2016-02-19 12:46:03
931106053,216776631,2016-02-19 12:46:03
60115467,3130914869,2016-02-19 12:46:03
1656054320,28076811,2016-02-19 12:46:04
35750622,43638469,2016-02-19 12:46:05
3180112748,2996391235,2016-02-19 12:46:05
305017129,519728191,2016-02-19 12:46:06
459259315,281282774,2016-02-19 12:46:07
332461251,16006592,2016-02-19 12:46:07
35678543,788545194,2016-02-19 12:46:08
924832128,3242887614,2016-02-19 12:46:09
1184544560,2400901568,2016-02-19 12:46:10
113128420,759251,2016-02-19 12:46:12
57383574,4207961,2016-02-19 12:46:12
592333524,3904956605,2016-02-19 12:46:12
24824555,42995067,2016-02-19 12:46:13
3302993621,232851192,2016-02-19 12:46:14
4762722077,3090733766,2016-02-19 12:46:15
3230138817,14173315,2016-02-19 12:46:16
220884954,1339835893,2016-02-19 12:46:16
3196826180,426802833,2016-02-19 12:46:17
924832128,75318169,2016-02-19 12:46:17
610263803,67293615,2016-02-19 12:46:17
2394218593,42836285,2016-02-19 12:46:18
424414054,871014848,2016-02-19 12:46:20
3408485891,2689574322,2016-02-19 12:46:21
516922460,188793260,2016-02-19 12:46:22
2191093538,25240424,2016-02-19 12:46:23
3392386283,607558430,2016-02-19 12:46:23
32346621,16469505,2016-02-19 12:46:24
135790536,59947923,2016-02-19 12:46:25
4758646629,3090733766,2016-02-19 12:46:27
52459326,20776147,2016-02-19 12:46:29
26775736,455764741,2016-02-19 12:46:31
2191093538,19865528,2016-02-19 12:46:32
424414054,3227742764,2016-02-19 12:46:34
3314545692,216776631,2016-02-19 12:46:34
31238045,136409184,2016-02-19 12:46:34
455764741,46653669,2016-02-19 12:46:35
3234295855,216776631,2016-02-19 12:46:36
51296658,720361531,2016-02-19 12:46:36
1255915020,216726259,2016-02-19 12:46:36
2432795750,759251,2016-02-19 12:46:37
1147005800,41814169,2016-02-19 12:46:37
4218007017,3193944696,2016-02-19 12:46:38
1927206542,400352771,2016-02-19 12:46:40
956412000,126722715,2016-02-19 12:46:41
4832681197,426802833,2016-02-19 12:46:42
110102112,4851716420,2016-02-19 12:46:42
914482993,3300904836,2016-02-19 12:46:43
3225760870,14293310,2016-02-19 12:46:43
48219360,3193944696,2016-02-19 12:46:43
4919753170,2998455941,2016-02-19 12:46:43
167708017,23813407,2016-02-19 12:46:43
4762683514,3090733766,2016-02-19 12:46:45
118048366,13850422,2016-02-19 12:46:45
4753094675,3090733766,2016-02-19 12:46:45
2861899293,21634627,2016-02-19 12:46:46
294760657,102401151,2016-02-19 12:46:47
435187389,601148365,2016-02-19 12:46:47
4919785127,2998408203,2016-02-19 12:46:48
4748750122,3090733766,2016-02-19 12:46:48
4732398561,3090733766,2016-02-19 12:46:48
705392676,14007532,2016-02-19 12:46:50
3996497555,353672532,2016-02-19 12:46:50
32794999,2350099799,2016-02-19 12:46:50
4430502072,93946789,2016-02-19 12:46:51
25207598,7848802,2016-02-19 12:46:52
83251563,21701757,2016-02-19 12:46:52
4905994094,14293310,2016-02-19 12:46:52
4879224550,1917731,2016-02-19 12:46:53
612057704,15288889,2016-02-19 12:46:55
