Source,Target,Time
3844455153,1007617800,2016-02-19 14:25:47
15929599,543022487,2016-02-19 14:25:47
2613332442,18791763,2016-02-19 14:25:48
3824912379,67514751,2016-02-19 14:25:49
700686215784169472,109361219,2016-02-19 14:25:49
4145603123,4122056133,2016-02-19 14:25:50
146987137,49658852,2016-02-19 14:25:50
3573249972,474464413,2016-02-19 14:25:51
18273674,61816136,2016-02-19 14:25:52
2920659436,347627434,2016-02-19 14:25:53
700686254669565952,109361219,2016-02-19 14:25:53
700685301618909186,109361219,2016-02-19 14:25:53
3873277803,29465136,2016-02-19 14:25:53
1969699820,1049171,2016-02-19 14:25:53
469944668,18791763,2016-02-19 14:25:54
725934620,23954775,2016-02-19 14:25:54
989903257,230069097,2016-02-19 14:25:54
4858171959,4263893061,2016-02-19 14:25:55
21110278,18791763,2016-02-19 14:25:55
793530145,1586720762,2016-02-19 14:25:56
54096689,3448846420,2016-02-19 14:25:58
36160724,18791763,2016-02-19 14:25:58
4505197042,18791763,2016-02-19 14:26:00
1928290020,2347049341,2016-02-19 14:26:00
700685636039147520,109361219,2016-02-19 14:26:01
1050111,15741036,2016-02-19 14:26:02
4432362193,993738031,2016-02-19 14:26:01
366240028,95518830,2016-02-19 14:26:02
2920659436,18288270,2016-02-19 14:26:03
20353370,807095,2016-02-19 14:26:03
301250622,3380367683,2016-02-19 14:26:03
304466691,262960361,2016-02-19 14:26:03
762435337,197404857,2016-02-19 14:26:04
1549124424,22642788,2016-02-19 14:26:04
3343118649,912791533,2016-02-19 14:26:04
2341064798,2976653309,2016-02-19 14:26:05
4817950082,2802914269,2016-02-19 14:26:05
167643090,104725145,2016-02-19 14:26:06
419673166,474464413,2016-02-19 14:26:07
361394423,261330050,2016-02-19 14:26:07
385757052,18791763,2016-02-19 14:26:08
4373965276,18791763,2016-02-19 14:26:08
2995882126,3074225132,2016-02-19 14:26:08
2858299039,3710929452,2016-02-19 14:26:09
396073671,17971913,2016-02-19 14:26:09
3003765995,713213745,2016-02-19 14:26:09
705302928,1065869268,2016-02-19 14:26:10
127175879,455264233,2016-02-19 14:26:10
278163796,15754281,2016-02-19 14:26:11
518498781,272107377,2016-02-19 14:26:12
37025524,3380367683,2016-02-19 14:26:12
342520333,579144258,2016-02-19 14:26:13
4334951714,3228495293,2016-02-19 14:26:14
700686082455662592,109361219,2016-02-19 14:26:16
514834066,18791763,2016-02-19 14:26:16
1214279948,2697587450,2016-02-19 14:26:16
1169054324,17980523,2016-02-19 14:26:16
2257704889,914061,2016-02-19 14:26:16
564843416,17539069,2016-02-19 14:26:17
3098164547,33884545,2016-02-19 14:26:17
15565363,14248226,2016-02-19 14:26:17
908953957,4774532193,2016-02-19 14:26:18
768493927,33276161,2016-02-19 14:26:19
137718722,18678924,2016-02-19 14:26:19
109297816,261330050,2016-02-19 14:26:20
508370282,3194899940,2016-02-19 14:26:20
2206468610,17539069,2016-02-19 14:26:21
