Source,Target,Time
2969310429,249547283,2016-02-05 05:04:59
859315448,143104075,2016-02-05 05:04:59
364082266,50055701,2016-02-05 05:04:59
364082266,28785486,2016-02-05 05:04:59
364082266,65691824,2016-02-05 05:04:59
20370320,3017574151,2016-02-05 05:05:00
20370320,14293310,2016-02-05 05:05:00
20370320,1339835893,2016-02-05 05:05:00
4752211955,356289479,2016-02-05 05:05:00
328754468,14596346,2016-02-05 05:05:00
43445412,76088120,2016-02-05 05:05:00
304199008,23161262,2016-02-05 05:05:00
271197755,263473924,2016-02-05 05:05:00
445925560,216776631,2016-02-05 05:05:00
4747922788,356289479,2016-02-05 05:05:00
94245127,4168565293,2016-02-05 05:05:00
252566795,3193944696,2016-02-05 05:05:00
378451616,216776631,2016-02-05 05:05:00
885581376,17995040,2016-02-05 05:05:00
4329847221,2753701960,2016-02-05 05:05:00
16597222,2770804376,2016-02-05 05:05:00
16597222,23022687,2016-02-05 05:05:00
729864282,852269288,2016-02-05 05:05:00
567345950,36890646,2016-02-05 05:05:00
3241887378,161804856,2016-02-05 05:05:01
3241887378,216776631,2016-02-05 05:05:01
78968880,3293741005,2016-02-05 05:05:01
78968880,25073877,2016-02-05 05:05:01
20714200,970207298,2016-02-05 05:05:01
18806759,216776631,2016-02-05 05:05:01
506461573,24645354,2016-02-05 05:05:01
506461573,1972462291,2016-02-05 05:05:01
506461573,23022687,2016-02-05 05:05:01
135569237,66533920,2016-02-05 05:05:01
1942837039,2998408203,2016-02-05 05:05:01
38363915,64816476,2016-02-05 05:05:01
4741768659,356289479,2016-02-05 05:05:01
15447694,84816752,2016-02-05 05:05:01
2716039260,36728962,2016-02-05 05:05:01
18778653,25073877,2016-02-05 05:05:01
18778653,2412591390,2016-02-05 05:05:01
18778653,759251,2016-02-05 05:05:01
69384446,32845990,2016-02-05 05:05:01
3924259581,15458694,2016-02-05 05:05:02
40173650,2798716081,2016-02-05 05:05:02
40173650,583127113,2016-02-05 05:05:02
40173650,1339835893,2016-02-05 05:05:02
40173650,29442313,2016-02-05 05:05:02
40173650,17011177,2016-02-05 05:05:02
46748165,96442308,2016-02-05 05:05:02
3375017176,95431448,2016-02-05 05:05:02
3406540678,28406270,2016-02-05 05:05:02
4844811918,449110269,2016-02-05 05:05:02
326607825,421830010,2016-02-05 05:05:02
3761843294,287423191,2016-02-05 05:05:02
3761843294,10228272,2016-02-05 05:05:02
389520791,315878798,2016-02-05 05:05:02
1597559232,271154322,2016-02-05 05:05:02
40173650,89715939,2016-02-05 05:05:02
354662997,2164770253,2016-02-05 05:05:02
354662997,4729317440,2016-02-05 05:05:02
354662997,15745368,2016-02-05 05:05:02
870899976,49645946,2016-02-05 05:05:43
870899976,4729317440,2016-02-05 05:05:43
