source,target,value
Planelyfun,Katlaya,1
EliteSquad52,ChrisJZullo,2
mzgee41,YeaYouRite,3
womenscaucus,adamslily,4
martian_baboon,britneyspears,5
justabloodygame,leyawn,6
AAmerican4USA,DBloom451,7
BroncoBaby10,mikemitchellnyc,8
SavichD1,britneyspears,9
LeMichaelBishop,Donna_West,10
RLAlgadi,LTHProject,11
NewDawgFlo,GeorgeBernardK,12
H2C2CyberCaef,DJ_CURFEW,13
TruelisBonn,Drudge_Report_,14
Catslawrence,BRios82,15
ManMet80,CindyLeinwand12,16
c5hardtop1999,ouchinagirl,17
mspetter,HillaryClinton,18
edilberto_u,HillaryClinton,19
mzgee41,da_wessel,20
LauraMarieNelly,MagazineCheek,21
apollobartender,davidsirota,22
nanblunt,bspence5,23
patfo49,gerfingerpoken,24
feetothefire,mariaj81,25
edilberto_u,HillaryClinton,26
eKllieCollins_8,NadelParis,27
emilyhollister1,diplo,28
goprapebuster,AlanKestrel750,29
rogiloc,JamilSmith,30
reesworld1,jbspharmd,31
madanabhat,ebihanabi,32
1Earth1Sea1Sky,DOUBTMYPROGRESS,33
Lyudmila12,RussiaInsider,34
AndrewCWhitling,diplo,35
madanabhat,robynkanner,36
lgib15,ChristieBarbie8,37
madanabhat,godlessVG,38
loserlikedani,britneyspears,39
ajLIMELIGHT,britneyspears,40
SeanPor78114915,DineshDSouza,41
JMGrange,blakehounshell,42
ManMet80,thehill,43
qnoftherealm,Gibbsdithers,44
fireroark,britneyspears,45
akash_rockss16,diplo,46
laureldineen,people4bern,47
kjoerwin,SugarMama7,48
upton1144,SusanStopsongs,49
dAaptRM,DJ_CURFEW,50
walla2at,burblesquirrel,51
mcnamaraorama,Katlaya,52
dulaney_l,Kelvin_Chambers,53
damonbethea1,maggieNYT,54
FreeBeacon,seanspicer,55
investmentguru,cnsnews,56
ManMet80,OnivMab,57
jhnevins,britneyspears,58
arknightdale,JeffBales6,59
studridergxsr,DailyCaller,60
the1ness,PositivelyJoan,61
SHRecording,NadelParis,62
Charlokariz,neeratanden,63
PainsingerG,NewsBreaksLive,64
damonbethea1,julito77,65
DrDavidClements,ErikaAndiola,66
CFroh,theblaze,67
350action,insideclimate,68
colbarroosevelt,ShawneeDJ,69
cosmic_cheri,ireneberns,70
kneeddough,YeaYouRite,71
JanetMenke,TheBaxterBean,72
feetothefire,RoadHound79,73
marissa_joseph,cmak93,74
RickCanton,c5hardtop1999,75
Notorious_Nava,BernieSanders,76
YICYAC,apwriter,77
JeffBales6,klansmen4trump,78
leeyahpehkair,jamesrbuk,79
GoldgrinnShalis,Drudge_Report_,80
AndreaPrado24,britneyspears,81
jjustinjmk,britneyspears,82
dAamAaro,DJ_CURFEW,83
BensB051,RobertMenardFR,84
kkpetersen,Morning_Joe,85
JeffBales6,klansmen4trump,86
dilemmv,JamilSmith,87
Mlmetzger11,JoyAnnReid,88
ManMet80,JanisWedmore,89
BroggiElisa,escudellat,90
AdamNGuy,DefiningAmerica,91
JeffBales6,YorkieMom4Trump,92
fgpepp,ABCLiz,93
GerrishLisa,stinaa1982,94
HateModern,ireneberns,95
feetothefire,mariaj81,96
dcrosthwait,DangerousTalk,97
raielsteinmiami,NadelParis,98
ErickaAndersen,lheal,99
AvianMedia2012,RaniaKhalek,100
MariaBartiromo,cvpayne,101
neaner069,3ChicsPolitico,102
FCN2go,GMA,103
wynfyrdragon,YeaYouRite,104
YICYAC,ForDemocraci,105
VTwinCrucible,BeanfromPa,106
CheckingTheMath,WeNeedHillary,107
hackinac,ImWithHillary,108
JeffBales6,facists4trump,109
nanblunt,danmericaCNN,110
Charlokariz,meetthepress,111
RLAlgadi,Hillary2016Pres,112
DiSereni,CristinaSoler92,113
SKnowles__,melaninporn,114
sabraeliza,keeponpolling,115
FCN2go,GMA,116
redboyswift,HillaryClinton,117
BactiveorBquiet,Hillary4Tampa,118
neaner069,davidsirota,119
pixdaux,RaniaKhalek,120
mntucker81,JanisWedmore,121
JeffBales6,facists4trump,122
philoehm,DJ_CURFEW,123
kingthepoet,thehill,124
headovmetal,jacobinmag,125
Mlmetzger11,VABVOX,126
sloanrachel,JillFilipovic,127
jmheckman,bykowicz,128
ScottWickman,cvpayne,129
Patriot_on_Pt,cvpayne,130
AaronApolloCamp,davidsirota,131
smith_waldy,MustafaTameez,132
sayori27,torapocodan,133
ScarlettO66,indyp8riot,134
danielbonaire,TheresaSchroe14,135
luana_bronnys,xbritney,136
Kdub_key,Bakari_Sellers,137
SeanHen2628o635,NadelParis,138
Charlokariz,Culinary226,139
lorocha888,britneyspears,140
ELulek,davidsirota,141
IchabodSkeezix,thehill,142
NeoProgressive1,YeaYouRite,143
julamounier,britneyspears,144
Colinwbutler,cvpayne,145
thebilinguist,BernieSanders,146
smc2of3,DineshDSouza,147
danielbonaire,TheresaSchroe14,148
13wam,SugarMama7,149
pattyborgees19,britneyspears,150
rixxy_official,CorrectRecord,151
DiSereni,silicium17,152
rogiloc,RTED2016,153
LonnekeMaraczi,jmeblommaert,154
4AllSoulKind,YeaYouRite,155
CDHill9,people4bern,156
Andre_Suporte,VHMondaini,157
feetothefire,davidsirota,158
NewyorkWeissman,MrJoeSacco,159
CarlEdmonndos,DJ_CURFEW,160
scg1102,cvpayne,161
jakethebassgod,BernieSanders,162
theseedyone,steve0423,163
PoliticsGovRT,sonething_news,164
SuesWK,mariaj81,165
PatVPeters,theblaze,166
Corriereit,VitaDigitale,167
umanzor_e,HillaryClinton,168
leeleemunster,hale_razor,169
danielbonaire,SomeBlueDevilFL,170
edgeoforever,VABVOX,171
QCExaminer,cvpayne,172
ChristinaDimase,davidsirota,173
acaderama,blakehounshell,174
JeremyDuffee,maggieNYT,175
sbpundit,ellencarmichael,176
PaulChaseJr,michaelallenmar,177
ConnieLouChaney,AmericanGlob,178
lyabeer,MrJoeSacco,179
jaconi,hunterschwarz,180
neaner069,Pb_Dirigible,181
umanzor_e,HillaryClinton,182
KoninckxPaul,jmeblommaert,183
Good_and_Evan,britneyspears,184
ralpsbh,NadelParis,185
GerrishLisa,RushCity4Bernie,186
MarieShark,diplo,187
EllenMignone,captaindoodle,188
OldSalz,FoxNews,189
AdoraforgeGara1,Drudge_Report_,190
rogiloc,UniteWomenOrg,191
VJDMT,MrJoeSacco,192
On_lacherien,RobertMenardFR,193
GAWomen4Bernie,marcslate8,194
fustinette,silicium17,195
kateloving,Roadracerguy,196
NewyorkWeissman,MrJoeSacco,197
Vufoeguben,DJ_CURFEW,198
KenBerry611,MSNBC,199
MsMySmile,ChloeGMoretz,200
NotTheFakeMcCoy,cvpayne,201
Critick2014,haloefekti,202
Dajay55,billclinton,203
bandrews_brian,BretBaier,204
feetothefire,mariaj81,205
laabundancia171,jciragorri,206
DavidMixner,thehill,207
rogiloc,ergeekgoddess,208
edgeoforever,expatina,209
CrebassaIsarn,GeWoessner,210
dylanvalian,mariaj81,211
KeysmanKeith,TheAdvocateMag,212
Swaggy_C12,Morning_Joe,213
ltsbritbitch,britneyspears,214
4AllSoulKind,Mimzy122,215
NewyorkWeissman,teachers4bernie,216
paladinette,AngryVoters,217
SarcasticPlug,potus2016app,218
Rustynails1,AppSame,219
abradacabla,AlanKestrel750,220
DragonLand_01,prepxtra,221
turnermelodie12,YeaYouRite,222
treehugger1605,AngieinWAState,223
JustplainCarrie,people4bern,224
prk1122,danvera,225
Little___Birdy,OzForBernie,226
rixxy_official,julito77,227
ltsbritbitch,POPlandiaSite,228
gnimsh,synonymoustohat,229
CantBelieve10,CoolCzech1,230
noel_noel,the_intercept,231
gordygiffin,leyawn,232
freedomrider364,GovtsTheProblem,233
StephenKeim1,BernieSanders,234
Earthfire9,AIIAmericanGirI,235
RLAlgadi,TheBriefing2016,236
WhitebrandAgag1,Drudge_Report_,237
Mlmetzger11,AnnMacNaughton,238
Lyliane_M,AFPespanol,239
gnimsh,wittyhag,240
Hgwilson215,yikesbrandon,241
Girolata20,RobertMenardFR,242
whateva9,DineshDSouza,243
BactiveorBquiet,dominiclowell,244
bibliobotic,JillFilipovic,245
ToddWeatherbie,JohnKasich,246
MattLoki,MsTexas1967,247
Mlmetzger11,AnnMacNaughton,248
ninaturner,NumbersMuncher,249
r11119,JeffBales6,250
AlDubest2Evry1,JeffBales6,251
ImmoralReport,ProudAmerican48,252
colbarroosevelt,adansby,253
dustinjj1988,HillaryClinton,254
lerow2000,gerfingerpoken,255
shirIeymaclaine,kitttenqueen,256
xxParisHodgexx,KendallJenner,257
McPhan,HillaryClinton,258
JJManring,BardOfEarth,259
AnitaevaB,Col_Connaughton,260
AblativMeatshld,CoolCzech1,261
leandroezeqiel,britneyspears,262
GerrishLisa,McSquirmishes,263
MariaBartiromo,seanspicer,264
AnitaevaB,Col_Connaughton,265
mybellmichell,britneyspears,266
tegansmit63h,NadelParis,267
BelleForTrump,JudgeJeanine,268
PietroDelPrete7,DangerousTalk,269
luthe90s,piercespears,270
STRIPPEADELE,britneyspears,271
eyewallAallied,thehill,272
AnitaevaB,Col_Connaughton,273
45Hillary16,ZerlinaMaxwell,274
maveryleans,YeaYouRite,275
jvrgsv,POPlandiaSite,276
xstylesalute,KendallJenner,277
zoe717417,Libertea2012,278
tates5a,idanikou,279
PaulChaseJr,RaniaKhalek,280
AlDubest2Evry1,JeffBales6,281
sepepper,astroterf,282
4evrmomof4,latinovictoryus,283
4AllSoulKind,people4bern,284
Still4Hill,finneyk,285
ussiewyshka,DJ_CURFEW,286
jaugustin9,thehill,287
cat351_r5,britneyspears,288
namodassa,RushCity4Bernie,289
sbingcb,YeaYouRite,290
CarolGo18658081,Gabbiedrice78K,291
DeniseGraves13,JohnKasich,292
gnrdown,AFPespanol,293
debragg13,Morning_Joe,294
coniinthegarden,JordanChariton,295
JJenzlm,People4Bernie,296
pyfgcrl,LisaVikingstad,297
zman14,cvpayne,298
e_nelsy,HillaryClinton,299
HarmonTranstorp,NadelParis,300
the_fire_berns,laurie_levin,301
Jilfishe,SecureAmerica,302
MalyndaNyc,DefiningAmerica,303
Dylan_Lee12,MrJoeSacco,304
RickCanton,ouchinagirl,305
VoteBlueAlways,WeNeedHillary,306
paladinette,NeilWarner88,307
GAWomen4Bernie,NVforBernie,308
attorney22330,Latinos4Bernie,309
baileyram2,steve0423,310
sickwine,britneyspears,311
KrautMike,astroterf,312
paladinette,TimByrd,313
mp4bernie,GodandtheBear,314
nanblunt,DaBearded0ne,315
paladinette,Julka4242,316
Still4Hill,creynoldsnc,317
_BjjLP21,BernieSanders,318
RiskyLiberal,jones410,319
4evrmomof4,TelemundoNews,320
2dasea,SHannitysHair,321
GRForSanders,NumbersMuncher,322
claudiatenney,rustyweiss74,323
treehugger1605,NumbersMuncher,324
BKzzzp,DJ_CURFEW,325
FekillerSaberg1,Drudge_Report_,326
OrHomeless,periclesusa,327
alanp90210,CULTURALPATHS,328
LynchburERg,DJ_CURFEW,329
postercabeyo,curran_98,330
paladinette,BernieBrigade,331
TimKahanek,AIIAmericanGirI,332
paladinette,DanielBackstro1,333
AugiesGrammie,WeNeedHillary,334
RockBigbie,cvpayne,335
RWOMC,cvpayne,336
PabloG89,fran_m87,337
catspadog,AIIAmericanGirI,338
RWOMC,seanspicer,339
BactiveorBquiet,JanisWedmore,340
ray_wilton,mryansisland,341
paladinette,Thierry_Dufay,342
oHme_Based_Cash,NadelParis,343
korean_rabbit,seanspicer,344
antjuansea,jamiemself,345
WLTX,CBSThisMorning,346
CharCharbag,JeffBales6,347
funkytown10,ndaktuell,348
KRansome83,Katlaya,349
samiajose,NewsweekEspanol,350
coniinthegarden,TheYoungTurks,351
HillaryCWord,Niclisten,352
leonitis0812,MrJoeSacco,353
lsalander13,sadieark,354
NanWychorsk,BernieSanders,355
SummitDNZ,DJ_CURFEW,356
paladinette,CheerfulFoodie,357
clanripley,DMNOpinion,358
speedingisfun,JUDGEWITHNOJURY,359
memfisman,HillaryClinton,360
pietroraffa,VitaDigitale,361
sbpundit,blakehounshell,362
DaleF3,RaniaKhalek,363
MeredithWRDW,CBSThisMorning,364
radioviceonline,HotlineJosh,365
GodandtheBear,Thierry_Dufay,366
ottofried,cvpayne,367
pyfgcrl,zaraahmad_,368
TooDistantLover,MyBlackMatters2,369
Moncion2,CBSThisMorning,370
Notorious_Nava,JashoBell,371
redrobin4364,PatriotCzar,372
Kef1024,ouchinagirl,373
MoDroJoJo,MajorSlander,374
fernandez_johny,CBSThisMorning,375
Sassafrazzled,jbspharmd,376
Easy8Jokich,NahBabyNah,377
CBSNewsPress,CBSThisMorning,378
smskinner3059,arizonasanders,379
The47ers,HillaryClinton,380
attorney22330,Latinos4Bernie,381
shariline,Masoninblue,382
Encinitas,LoganDobson,383
studridergxsr,AIIAmericanGirI,384
moli_yoli,ElUniversal,385
aPrlorShowromo,NadelParis,386
charlyremonda92,britneyspears,387
MalyndaNyc,DefiningAmerica,388
hibellerballs,UmbilicalKordei,389
PainsingerG,NewsBreaksLive,390
paladinette,ABCPolitics,391
brittneybrits,britneyspears,392
yaboisam,nick2crosby,393
Rozheen1221,davidsirota,394
tinashennan2013,DailySpears,395
6ndgsstjvy,DJ_CURFEW,396
SeriousTom1,torapocodan,397
jimhanleyfishin,ouchinagirl,398
294thMPCo,steve0423,399
DaleF3,Thierry_Dufay,400
CarolGo18658081,HillaryClinton,401
ToryBluest,steve0423,402
ManMet80,ArthurA_P,403
rojoh1,davidsirota,404
mp4bernie,DefiningAmerica,405
brit_123456789,britneyspears,406
tates5a,Katlaya,407
pyfgcrl,Katlaya,408
JesseArmenio,diplo,409
cocomrsdixon,foxandfriends,410
ImdaVinman,cvpayne,411
frozenmn,jjauthor,412
ManMet80,Gabbiedrice78K,413
eRnoPhilieert,NadelParis,414
ProtectthePope,BruvverEccles,415
Mlmetzger11,VogueRunway,416
LIBERALINPA,sheriffali,417
ElaineInMD,DineshDSouza,418
tuschwoman,britneyspears,419
Dk89Dianna,DineshDSouza,420
dswinfield,mariaj81,421
nscrowba,cvpayne,422
paladinette,GuerrillaDems,423
AhearnTim,theblaze,424
HedinJohn,DaBearded0ne,425
brockman72,cvpayne,426
howserob,GovtsTheProblem,427
deirdrewallac16,NBCNews,428
Amberis4LSU,LaurelCatherine,429
_johndbian,POPlandiaSite,430
frozenmn,brad_duren,431
KyleTaylorLucas,ABCPolitics,432
bgregory857,ZerlinaMaxwell,433
notforsale2016,NumbersMuncher,434
Andrewcool9,GMA,435
PattyWheeler12,michaeljohns,436
CheckingTheMath,AmyDugan,437
PetrosAMDG,RobertMenardFR,438
djmontrella,TellyStern,439
smskinner3059,Libertea2012,440
kateloving,bluenbama,441
GarrenShipley,seanspicer,442
BuellStan,CBSThisMorning,443
greggo1685,McSquirmishes,444
MikePiic,DJ_CURFEW,445
Mlmetzger11,ABCLiz,446
dilemmv,ZerlinaMaxwell,447
selfmade8806,MajorSlander,448
AmandaAska,diplo,449
DaleF3,DanielBackstro1,450
ManMet80,JanisWedmore,451
bndsnoopy61,DaBearded0ne,452
jimiare,cvpayne,453
madclntheam,KendallJenner,454
red_peonies,MyBlackMatters2,455
Louisegbrt,GeWoessner,456
CarolGo18658081,SugarMama7,457
Skyewalkereena,flint1963,458
ManMet80,JanisWedmore,459
urbanstreehcti,NadelParis,460
SerenaSpears90,britneyspears,461
PatVPeters,_Micha3l_B,462
realmaciej,cvpayne,463
dkingb22,sammyjo8803,464
GloriaBertelli,capatesuspigolo,465
godneyfanbitch,etnow,466
goprapebuster,danmericaCNN,467
MalyndaNyc,EliteDaily,468
Mlmetzger11,JoyAnnReid,469
snowsurfvt,GuerrillaDems,470
osleyulister,britneyspears,471
captaindoodle,Gabbiedrice78K,472
BrassNucklez,BlueDuPage,473
RyanBLeslie,Ebolamerican,474
MaxBrecher,britneyspears,475
Marv_Vien,tommorrison950,476
SujOfficial,thehill,477
CamelotGypsy,GuerrillaDems,478
ali4nebeds2015,LabourEoin,479
HenryZeniewicz,DefiningAmerica,480
DaleF3,BernieBrigade,481
dswinfield,SomeBlueDevilFL,482
bobbycblanchard,allisonwisk,483
CombsKeith,britneyspears,484
pronkofm,TODAYshow,485
MrHuntersk,TODAYshow,486
GbamTVGlolba,NadelParis,487
dowd_lauren,davidsirota,488
1Earth1Sea1Sky,McSquirmishes,489
lr3031,RedState,490
Brandon_WKOW,GMA,491
WKOW,GMA,492
27NewsFeed,GMA,493
b_umanzor,HillaryClinton,494
c_herr,DailyCaller,495
MENDMAR1,AOL,496
rebeccadenise30,Latinos4Bernie,497
Cats_for_Bernie,NumbersMuncher,498
StopTalkingThks,JillFilipovic,499
Mlmetzger11,brianefallon,500
portaldelhipico,GMA,501
BuellStan,thehill,502
docrocktex26,AlanKestrel750,503
1starbucks,GMA,504
DonaldGR8,LaurelCatherine,505
UpInSmokePycsk,DJ_CURFEW,506
metricka,cvpayne,507
willbillkinney,AmericaRising,508
womaunizer,britneyspears,509
mcdonoughsu,jongovi,510
Yousra_Shahy,TheYoungTurks,511
Mahmudabdulazi4,sadeeq_ixeblue,512
champlife,GMA,513
DanielKusa,cvpayne,514
Barnes96,JohnKStahlUSA,515
kayla_stryker,CarlBeijer,516
MissShuganah,NumbersMuncher,517
rebeccadenise30,People4Bernie,518
dkauf1043,DineshDSouza,519
Hayduk_Daily,foxandfriends,520
radiiculous,lesbianaff,521
Orig_Glamazon,TODAYshow,522
alSaryTutor,NadelParis,523
GinsburgJobs,aheffne,524
4evrmomof4,ydc226,525
metricka,steve0423,526
CathyTX,jchaltiwanger,527
ExoticFlame,ElleKingMusic,528
CllrMikePowell,novenator,529
Africanfighter,ZerlinaMaxwell,530
CBS47,CBSThisMorning,531
Vertumne1,RobertMenardFR,532
Mlmetzger11,KrazzyTracy,533
PianoBlackDJ,ChloeGMoretz,534
amstrdam4bernie,NumbersMuncher,535
Ukranium,stevewparkhurst,536
fofobanana,yikesbrandon,537
rogiloc,JillFilipovic,538
freespeak3,jones410,539
citrusjackie,BLVCKMATTERS,540
4evrmomof4,CristobalJAlex,541
Onusspears,davidsirota,542
CristyDwyer,Mimzy122,543
Leonard_McCerlu,DJ_CURFEW,544
causeIsaidsoyes,postpolitics,545
yaboisam,ecm_madridista,546
vawerlyplace,britneyspears,547
CathyTX,Hillary4Florida,548
4evrmomof4,sahilkapur,549
rmack2x,BarneyFranken,550
Moon___Sister,annanicole02,551
GoaGoaZwerg,ndaktuell,552
awlally,fionalaird,553
NewRBEworld,annanicole02,554
DAMEGREASE,ihatematt,555
4evrmomof4,foxnewslatino,556
Mlmetzger11,gdebenedetti,557
fkarosebud,diplo,558
attorney22330,People4Bernie,559
docwindprod,bephil87,560
RkCreekWerewolf,thehill,561
Mlmetzger11,JamilSmith,562
Firebomb173,AlanKestrel750,563
xoryps,ndaktuell,564
analyzenothing,AmericanGlob,565
BIFFWARD,RaniaKhalek,566
4evrmomof4,latinovictoryus,567
ELulek,DailyCaller,568
Firebomb173,AlanKestrel750,569
Wriseup,GuerrillaDems,570
KatieMColllins,GMA,571
goprapebuster,britneyspears,572
dolphin1248,LandmanMarius,573
jkruse1010,salpaulsen,574
rjber15,GuerrillaDems,575
weepingpotato,People4Bernie,576
saaashx,TODAYshow,577
BLFF_org,meetthepress,578
Firebomb173,AlanKestrel750,579
RocketAmit,washingtonpost,580
yaboisam,BillPascrell3rd,581
billy98102,JamilSmith,582
MaryTrinetti,mikemitchellnyc,583
Gina_Magel_CAP,DJ_CURFEW,584
NoreenR1,chadsdaddy,585
NoreenR1,chadsdaddy,586
Jinanb,theIMEU,587
tuppydougherty,HillaryClinton,588
MartinDM3MD,britneyspears,589
paladinette,GuerrillaDems,590
Narwhals579,Nas000000009,591
viccsilver,NIGHTONMVRS,592
mebeanbag,lib_crusher,593
bamboudesmers,BlueDuPage,594
Fishbooom,AlanKestrel750,595
bananabanana000,TODAYshow,596
Renaseance,DineshDSouza,597
Jbs10twit,silicium17,598
Moon___Sister,PoliticalAnt,599
Kiower1,britneyspears,600
AKLienhartMinn,JillFilipovic,601
Support_changee,scroll_in,602
ginsengity,AlanKestrel750,603
paladinette,goblackcentral,604
zugons,fionalaird,605
GGG_says,GuerrillaDems,606
carriealmom,Morning_Joe,607
Mnky74,Gremlinbroom,608
bevknng,NadelParis,609
McCombPETE,ergeekgoddess,610
ReeseJob,Col_Connaughton,611
rackbullyback,XCOGAMES,612
_NishaKnowsAll,VictorPopeJr,613
SyedMKamal,blakehounshell,614
SpinePainBegone,GovtsTheProblem,615
zoe717417,silverweb_7,616
paladinette,OzForBernie,617
kathy_hoffman,AIIAmericanGirI,618
graygoods,trayNTP,619
_nikkishiffler,RepresentDotUs,620
C074896,AlanKestrel750,621
MONICACOANDRES,DraIsabel,622
MiriamDanielle9,DOUBTMYPROGRESS,623
MannyDidDiz,ChloeGMoretz,624
demfemme,NCForBernie,625
MONICACOANDRES,DraIsabel,626
coniinthegarden,JordanChariton,627
brit_123456789,POPlandiaSite,628
Steph80335,filipeduarte81,629
Radlein,AlanKestrel750,630
sigitpb,piercespears,631
webcentraltv,CBSThisMorning,632
ClaireKerrNews,TODAYshow,633
Info24US,TheTruth24US,634
HowardKainer,julito77,635
mrsjetsetter,abc13houston,636
zoe717417,silverweb_7,637
rjber15,NumbersMuncher,638
paladinette,seanspicer,639
PianoBlackDJ,ChloeGMoretz,640
ValJ72,GuerrillaDems,641
saminhim,DailyCaller,642
cvh7,MrJoeSacco,643
hotelkeys,kate_vaughn,644
QuintinOnCamera,TODAYshow,645
pop_ulista,theIMEU,646
NadiaSinishtaj,piercespears,647
sgaastra,fionalaird,648
howserob,greyspike60,649
Steven31015146,ObamaBash,650
LaContessa212,YorkieMom4Trump,651
metgav,NeilWarner88,652
lgguary,britneyspears,653
spupdogs,MAHAMOSA,654
attorney22330,People4Bernie,655
mikewoolfolk,jamiemself,656
Farmers4Bernie,plbds,657
_perryjay,darianniii,658
faoretaste,NadelParis,659
tommorrison950,JillFilipovic,660
Notorious_Nava,AgentsOfLogic,661
JuanSethGmez2,ChloeGMoretz,662
