source,target,value
ver_wey,mitchellvii,1
EltonAJMenezes,CNNPolitics,2
Alecsky_1,peddoc63,3
WendyJFluga28,vivelafra,4
Samynemir,jameshohmann,5
FireyandIce,vmpcott,6
lizherpow,DailyMail,7
Mong84335973,henroceans84,8
hfschaeffer,tedcruz,9
sunshinette,JaredWyand,10
Court28Gunnels,RickMurphyAZ,11
2timesmircle,MC19691,12
m_i_mahdi,Popehat,13
timkling,NYSforTedCruz45,14
beverly_crider,GCDUNHAM1,15
chip_brooks,tedcruz,16
BillPascrell3rd,CNNPolitics,17
perrycolemanhog,JohnFugelsang,18
joeymogilner,tedcruz,19
Lizbethjoy,KingdomRising1,20
simpson_tl,UnionWorkers,21
rmiskimens,DavidRomeiPHD,22
fairtaxman,tedcruz,23
maisygibons,deray,24
iowacruzgirl,tedcruz,25
marylene58,DogoodII,26
FireyandIce,PatriotGinger2,27
gppart,LeadInPresence,28
iowacruzgirl,RickMurphyAZ,29
Kelly3132,razshafer,30
Baird,CNNPolitics,31
donwalk20866779,John_Wayne1111,32
skorpyos,tedcruz,33
TheWonderBoy_,deray,34
BretALarsen,DailyMail,35
ChiBarb,DivineMoments,36
Latinegro,deray,37
steveamattera,PimpBillClinton,38
taking_itback,YugeMilo,39
VeraGorman,hdiallo,40
girl_iowagirl20,NESbot_OT,41
FreeAverageJoe,tedcruz,42
steveamattera,PimpBillClinton,43
iowacruzgirl,betsy_klein,44
mebeanbag,RawStory,45
Hogan7241,DonaldGBoudreau,46
EMolinaF1,Salon,47
WendyJFluga28,mitchellvii,48
RuffinBWD1,tedcruz,49
billycarter12,mclay332,50
lakehouseus,MarieLeff,51
mebeanbag,AshaBays,52
CoolPontifex,buddy31114,53
girl_iowagirl20,gaynewsnet,54
jkfoerster,magnifier661,55
Rqlym,WSJ,56
taniagroe,CNN,57
NHNewsAgency,vmpcott,58
girl_iowagirl20,ZczZzcz,59
RogerRice10,RickMurphyAZ,60
bloomingdale_2,WSJ,61
DebndanfarrDeb,dellavalle_mike,62
hfschaeffer,GovernorPerry,63
Michael13874,PatrickSvitek,64
Coondawg68,betsy_klein,65
elle111nyc,LandmanMarius,66
clssfds,DotCFDomains,67
mcbridetd,voxdotcom,68
jadysalonga,CNNPolitics,69
BeeAHoney_,CLewandowski_,70
LyellBan,DataGenesis,71
CrtifiedNotADad,CNN,72
girl_iowagirl20,walshasarus,73
gramakav,tedcruz,74
Kathy73942403,MariaYes2trump,75
bekunda24,Lakecrazy,76
BrianBuckWargo,Morning_Joe,77
Lizbethjoy,StevePerkins14,78
FireyandIce,Shooters_Wife,79
cpcllc,John_Wayne1111,80
billycarter12,mclay332,81
VW2016,magnifier661,82
ChrisGaryL,YugeMilo,83
slinky1daisy2,tedcruz,84
Mong84335973,kinxbitz,85
powers_dawn,MaryPatriotNews,86
LiveNewsyTweets,Salon,87
DixieShanon,teaparty321,88
madlaw1071,ToddHagopian,89
nhuntwalker,deray,90
DorineSez,MaryPatriotNews,91
branicole,RickMurphyAZ,92
situate,voxdotcom,93
JebBushJr,Timodc,94
TheVictorPrice,WSJ,95
newconservny,weswieann,96
girl_iowagirl20,HappyRights,97
hfschaeffer,yunsun1967,98
t_lado_mu,DailyMail,99
ShadowWarrior05,realDonaldTrump,100
AnnPoplin,tedcruz,101
kostopou1,Carolde,102
jacquestoddard,LibertyNews1776,103
therealzanetta,alegriaboulange,104
1273patty,tedcruz,105
