source,target,value
HuzzahForAlex,joncstone,1
FiveMeadows,word_34,2
RajeevR62038315,BernieSanders,3
ReneCuperus,finchelstein,4
VictoriaFerna71,treehugger1605,5
NewyorkWeissman,TODAYshow,6
SharoniRocks,paladinette,7
Info24US,TheTruth24US,8
frandunn71,NBC10,9
98ashwing,BerniesHomie,10
cpt_fr23,politico,11
w116tjb,BernieSanders,12
Rilandina,JohnFetterman,13
27Seascapes,LivingOnChi,14
FoL2009,JillFilipovic,15
astronautgo,sadydoyle,16
KingAjala,Erik_Verduzco,17
CarlyGr87640978,VIralBuzzNewss,18
wolfeprowler1,coopah,19
GoldenFinest1,Bernlennials,20
terri_georgia,HillaryClinton,21
kennylbelvin,BernieSanders,22
nancysuzyq,Osmanaman3,23
17ThomasPaine76,NBCNews,24
KingAjala,TheAdvocateMag,25
ChetwoodMelissa,VIralBuzzNewss,26
patrioticmomusa,BruceBartlett,27
SimeonLori,VIralBuzzNewss,28
Sadiesgathering,Meemie24,29
seemeimaperson,joncstone,30
WkndGirl,MashableNews,31
KsoTheKing,IamAkademiks,32
northanger,usnews,33
27Seascapes,beleden,34
PaulaDuvall2,GoJamielsLawGo,35
JadedIbisPsesr,DJ_CURFEW,36
DrIanInc,HillaryClinton,37
ChannyJSpeaks,plbds,38
b140tweet,socallks,39
quole,i_journey_bot,40
truemira,ABCLiz,41
RobinMCouch,USATODAY,42
labornuts,Chicago4Bernie,43
SharoniRocks,paladinette,44
andrew_wilford,MotherJones,45
sandersequality,meetthepress,46
THE_DAILY_BLEAT,jarsthemule,47
b140tweet,KirklandReader,48
AxholetheGreat,SteveHofstetter,49
truemira,TheAtlantic,50
nadfe56789,haaretzcom,51
panyan0415,TheBernReport,52
wookie28560,GottaLaff,53
SherriPizza,JessicaGoldstei,54
berniebabe2016,keeton626,55
joseph_carangi,librab103,56
Libertea2012,NumbersMuncher,57
27Seascapes,OnlyTruthReign,58
Sadiesgathering,frodofied,59
flannerykeck,NCForBernie,60
wjcormier,Women4Bernie,61
attorney22330,AndrewCicchetti,62
ZERUDAH,wellshwood,63
AmazingSOP1,MommaERadRebels,64
TigerYuppie,CNN,65
TristateGreenre,DJ_CURFEW,66
