source,target,value
benhad911,rjmaita,1
ammaryasir,nyctaxicabtales,2
Freedomoffreedo,KarlRove,3
daletheamerica1,arrowsmithwoman,4
thomerchalen,BenSFletcher,5
debbietexaslg,CyLyBu,6
edumar_e,miguelhotero,7
txGOPchick,INJO,8
pmphillips,waltonandy,9
003a04f8c2054b7,LindaSuhler,10
navashedleyw,BenSFletcher,11
labuffstahmer3,BenSFletcher,12
sullivankathy91,Mediaite,13
AnonBruja,tomwatson,14
IFYOUVOTE,KarlRove,15
aitorlorda85,rudepundit,16
qatim67,GoMikeMartin,17
22Douda,dahab17102015,18
robbieredneck,KarlRove,19
Louloucaty2002,magneticcatt,20
catydoodle,MaryPatriotNews,21
Kurtpimentel,KarlRove,22
NeoFederalism,KarlRove,23
cherokeesher2,voxdotcom,24
lupulhorstma,BenSFletcher,25
PatrickRuffini,katherinemiller,26
uniquelybecky,CriminelleLaw,27
xjacksonslegs,CarlosLozadaWP,28
003a04f8c2054b7,DrDHMenke,29
sassyNblonde,nytimes,30
fiorazo,KeepPromise1,31
Hewy21,jonhallc,32
dyniace,brucepknight,33
james_e_bell,pewresearch,34
Jade_Amie_,Common__Monster,35
iMughalMunaf,IndyUSA,36
PrezDJT,AcerbicAxioms,37
andyzoric,J_Giordano,38
Yemzd,INJO,39
JackieEizensmit,rickwtyler,40
KarenNewell2,KarlRove,41
lordray1949,KarlRove,42
pablo8vazquez,EsSpainVsWorld,43
jaimie_leighann,ColsonKourtney,44
normannavarro67,manueldr,45
Blackdi51264299,ScottBLG,46
SPMUWLHLW,JohnFromCranber,47
rosgompar,BritainFirst,48
txblondegrad,USATODAY,49
SuseinMcSweeny,PizzaPartyBen,50
MinneMike,KeepPromise1,51
Raisin_Brann24,tiara_lexi,52
evilsam2001,_DaisyRidley_,53
tavanabuckepre,BenSFletcher,54
ChadWilbanks,KarlRove,55
aaariek_,InnocentLaTre,56
texmcw,mitchellvii,57
toholdaquill,levie,58
tonymontony,stultaviro,59
rortega693,CNNEE,60
jlowmiller,markleggett,61
DaltonLuther640,litgif,62
kiingkahloan,JohnFugelsang,63
_silversmith,jmartNYT,64
JosephEach,rickwtyler,65
RogerRamJet1776,robknoxious1,66
amantillalopez,stultaviro,67
vigil_kiana,Dory,68
bobbyhochu,veganvecoh,69
Kathryn20789564,BuzzFeedAndrew,70
jCar89000,mitchellvii,71
rinks16zxt,BenSFletcher,72
tymadisonmom,veganvecoh,73
shababnik1,nytimes,74
ovallbalson8v,BenSFletcher,75
MHRudin,JustinRaimondo,76
Freedomoffreedo,Harley_Woody,77
Life_Goes_On85,BudD_LiGht,78
JurjenIJ,voxdotcom,79
DCH817,Tamaralynn212,80
sashstatton,TheDreamCIoset,81
JosephEach,rickwtyler,82
2smiles3,immigrant4trump,83
003a04f8c2054b7,HouseCracka,84
FocuzDinah,hiitaylorblake,85
KaralinaVern,teenagernotes,86
Bouzenzil,KhateebAlUmawi,87
LisaKBromley,voxdotcom,88
Bjw1119,ABC,89
rinulds,Mediaite,90
GokoLoko,baaadgalgigi,91
9qavilanoll,BenSFletcher,92
snowsurfvt,Libertea2012,93
vcppatt,Lrihendry,94
Konstantya,HuffPostRelig,95
ElFre60n,hotairblog,96
natdannielle,lexk608,97
auntoona,jilevin,98
MARILYNLEVINso1,LindaSuhler,99
fr_souche_jura,andrebercoff,100
hannahrain22,Dory,101
JeremyVick4,KarlRove,102
ladyenigma,ABC,103
thedecemberfox,hiitaylorblake,104
erica4ou,LindaSuhler,105
MassForMarco,JohnFromCranber,106
Emantron,GaryJanetti,107
ImAtMyWhitsEnd,BuzzFeedAndrew,108
dengelle,BenSFletcher,109
erica4ou,LindaSuhler,110
MARILYNLEVINso1,LindaSuhler,111
MontanteSheild,BenSFletcher,112
IAmA_Freeman,JohnFromCranber,113
zhanover,RBPundit,114
kennitala,erictweber,115
Cris_Soyyo,hiitaylorblake,116
erica4ou,LindaSuhler,117
RopevilleRaider,HenryMakow,118
legalese5767,BuzzFeedAndrew,119
MakyTere,AristeguiOnline,120
tony_sanky,tdltdltdltdl,121
angelathomas22,guypbenson,122
LibertyinNH,katherinemiller,123
Rhondeezie,Nick95B,124
ReidRobert189,Politics_PR,125
goldentiger39,vmpcott,126
charlesfrith,tohajilee,127
Independent_Pol,INJO,128
davidaslindsay,newsthump,129
vanitarene35r,BenSFletcher,130
TitoF1r,PublimetroMX,131
TaySwift25,hiitaylorblake,132
mercyamancha,nytimes,133
sf4trump,DanScavino,134
5H_jauregay,hiitaylorblake,135
junaidmeer8,zr_tweets,136
janowerrot,BenSFletcher,137
cferguson0327,robertjeffress,138
reneesdc15,LindaSuhler,139
mtbackpackrk,sdrr38,140
xjacksonslegs,edatpost,141
PaulOstazeski,byjoelanderson,142
WillfordSherena,IanBohen,143
tony_sanky,vnsvck1,144
ccagiao1969,ABC,145
ShailaFuentes,EsSpainVsWorld,146
Kaworubunga1,hiitaylorblake,147
1RonnieD,aubrynathome,148
Susan55566223,realDonaldTrump,149
Tito_H24,Edwerderespn,150
MinneMike,rickwtyler,151
zeccasilva,politicalwire,152
slockbowerbh,BenSFletcher,153
Shenerdigans,MozzareIIaStix,154
plan4s1,creapills,155
qsmaribel,PublimetroMX,156
LiaStellaB,stultaviro,157
EdwardBGreen,waltonandy,158
damonbethea1,frodofied,159
Pie_SocialMedia,BettyBowers,160
Tharparion,bimmerella,161
JehovahJireh153,TheDreamCIoset,162
FaithKi_17,mamaleei,163
crizzazle,angeljrarrieta,164
Lindaklopper,ABC,165
pinoybreed808,ABC,166
dnl_xo,elle91,167
mareshaporter,Powerful,168
ValyBeHappy,ClassicPict,169
henrycon1,miguelhotero,170
Honest_Cowboy,BuzzFeed,171
Nounousouk41,dahab17102015,172
fodeibos,octaviabIake,173
Oopslauren_,hiitaylorblake,174
Mama4Bells,AleteiaEN,175
camziiijergi,hiitaylorblake,176
FeMLustanas2016,ABC,177
drnkqnt,JaredTSwift,178
AuthorUniverse,KBAndersen,179
whinemom95,jennnauhhh,180
richardcircle,Politics_PR,181
BRAZZERJAI,hiitaylorblake,182
sf4trump,DanScavino,183
isabell97789125,HaussmannParis,184
beretchaudhry,CARASmexico,185
johnmcdude7,PP15146407,186
I_am_Konami,C002D4E82,187
nousgnostic,WesleyRickard,188
robertrathbone,KarlRove,189
trumpnadousa,realDonaldTrump,190
thetimewasthen,greta,191
florigelium,OhNoSheTwitnt,192
JenniferRMuir,latimes,193
normannavarro67,uniradionoticia,194
rusdolboy,rickwtyler,195
geadsjr,PinkNews,196
MeredithHamblen,voxdotcom,197
AprilStearns,Philip_Elliott,198
deasach,tohajilee,199
Nick95B,veganvecoh,200
Rebel_Bill,reidepstein,201
oldcruiser1,billyd28753,202
sherweenie,BuzzFeed,203
SaritaThacker,baba_speaks,204
Eddiemunst1313,LindaSuhler,205
lukeford,JustinRaimondo,206
g_ltaylor105,tomwatson,207
neilpX,TheChrisSeifert,208
terrapinion,fakedansavage,209
mama_b5,Nero,210
Swamper60,Phantom7th,211
DrWildWilson,Felix_Clay,212
afterjai,hiitaylorblake,213
Susan55566223,realDonaldTrump,214
Eddiemunst1313,LindaSuhler,215
mershroom,TheDreamCIoset,216
laurenJbae5h,biIexuality,217
ThereseOSulliv2,JasonsGrandpa,218
