Id,Label,Followers,Lang
2674533054,im4DJTrump,NA,NA
64816476,STL_Blonde,NA,NA
2798716081,AightJADE,NA,NA
118172546,frannieOh,NA,NA
21982720,ariannahuff,NA,NA
15745368,marcorubio,NA,NA
1330457336,billclinton,NA,NA
2998408203,Drudge_Report_,NA,NA
17092542,GOAT78,NA,NA
69641315,DreamWeaver61,6580,en
3290319959,vict0ria_af,229,en
304199008,michalyy,288,en
450941680,ThisWeekABC,NA,NA
307548363,rowblanchard,NA,NA
2619163263,az_valentine,2149,en
932075623,cscougars15,139,en
33229252,RianJ__,762,en
2164770253,DavidHudson04,NA,NA
4029018734,Darkman3500,NA,NA
4741768659,GraceNewdegate,4,en-gb
89715939,Metro5Today,NA,NA
328754468,Bethy_AZ,24,en
525821517,Uber_Pix,NA,NA
3572758941,FixDemocracy16,325,en
421830010,NathanZed,NA,NA
783343310,maddiluvsmusic,240,en
23529294,NewsLycaness,NA,NA
73775601,mustacheman88,NA,NA
3761843294,heshowsup,684,en
65931246,good4politics,5665,en
472592980,EXILE_contact,NA,NA
41634520,seanhannity,NA,NA
1367531,FoxNews,NA,NA
1597559232,darlaxpizza,506,en
23161262,kennykeil,NA,NA
4182358696,galvin_henry,189,en
16597222,Merlin333,3021,en
16503468,juliakellieu,194,en
3324919772,baughman_cb,233,en
188793260,ninaturner,NA,NA
60075685,GregsBMC,737,en
2833315608,Dodpiff,NA,NA
28785486,ABC,NA,NA
271154322,reaIDonaldTrunp,NA,NA
123697014,RandallJAvila,271,en
591935854,lovedxze,300,en
18778653,janetver,166,en
366355851,EarlDibblesJr,NA,NA
488809923,kaegann,NA,NA
196168350,AnnCoulter,NA,NA
3481017737,dobette28,10,en
3721698014,Will_Be_Typos,NA,NA
4781182130,Gypsydragup,NA,NA
43445412,DeanLeh,12385,en
2869072982,Capitalism_4All,NA,NA
628617775,triceratommy,423,en
20958510,KatyinIndy,144804,en
970207298,SenWarren,NA,NA
78968880,SouthernAuroras,1927,en
1917731,thehill,NA,NA
216177462,Mickie456,1876,es
252566795,MalyndaNyc,528,en
65502117,PounderFile,NA,NA
3924259581,theRealBethAnn,1614,en
1334852306,OhBeatrix,536,en
747314994,THEREALdlv54,75,en
4121225056,CLewandowski_,NA,NA
278862143,eightynines,637,en
17244450,Irishfyre,124,en
2289158064,rhinotter,105,en
384700571,merlow_d,120,en
18464266,peterdaou,NA,NA
89773253,tyelland,NA,NA
4804005008,Scoobs909,15,en
16077922,aeronautic1,1112,en
216776631,BernieSanders,NA,NA
4872958384,NVforBernie,239,en
397545273,JeffJlpa1,NA,NA
279358548,keriRN,NA,NA
356289479,PoliticsJim,NA,NA
3001665106,TeamMarco,NA,NA
186587664,NoiseCollector_,1303,en
