Id,Label,Followers,Lang
241201438,Bakari_Sellers,23479,en
2241366900,caroljw617,80,en
20201631,Encinitas,1471,en
4574871983,Ukranium,190,en
3540252020,RedRising11,8537,en
3135241,RedState,167049,en
4841297501,amstrdam4bernie,221,en
3288984130,NanWychorsk,24,en
330990153,leonitis0812,1735,en
15265641,AdamGreen,10504,en
2569992811,Ironvliel,22,en
513438857,DBloom451,4950,en
3122506345,lorenkosa,348,en
4559539333,KainBaboy,3356,en
1452963673,TheCochranTeam,284,en
557906300,ToddWeatherbie,12,en
607614048,greggo1685,35,en
3482414729,hackinac,1054,en
3183481947,DeekatzDeby,136,en
28431722,quemacontece,370275,pt
4119269955,postercabeyo,87,en-GB
950784330,PhilOutsider,4164,en
999453985,BlissTabitha,57983,en
3207586707,rmcmarthy11,162,en
63082578,AaronBastani,12582,en
2971523097,sudodesnigs,20,en
118048366,Sandee9378,247,en
2409681308,aPrasitePubs,155,en
3212257245,dAaptRM,26,en
2790832245,Critick2014,277,nl
104081761,lib_crusher,1304,en
3320557224,RyanHeathAdams,957,en
12354832,kasie,51382,en
1028430366,Halers_Unicorns,5151,en
14050550,insideclimate,57811,en
16786409,MartinDM3MD,24,en
972651,mashable,6712155,en
140454958,judithstephen,671,en
2414913756,LeChatNoire4,3945,en
4919568105,PainsingerG,8,ru
492523490,lermanseIenas,34187,en
21538153,RWOMC,713,en
43573974,Yanksfan1985,21,en
3223914997,SouthSeaGold,514,en
15982094,Radlein,2187,en
1043931564,CRNHealthcare,4151,en
24236283,ajcarchidi,590,en
2396835302,faoretaste,173,en
29048085,LaurelCatherine,9037,en
18662449,madanabhat,1388,en
315683240,MentalRiot,1777,en
776522766,ElaineInMD,1209,en
24789653,1Saloni,1174,en
4873761282,VettingBernie,704,en
120730487,Declan1497,927,en
4180378753,RoadHound79,21,en
22435220,RyanBLeslie,1989,en
3232405048,supermobsquad,464,en
2651777845,inartic,5419,en
4852076001,TeresaBabcock3,360,en
2651763832,caudill_ray,58,en
2403046327,Louisegbrt,353,fr
1890690288,MaryAbrahams,32,en
48438566,Luminaria98,5650,en
29110038,MrWarEagleDreMc,150,en
21356492,LIBERALINPA,75,en
241583780,nanblunt,1787,en
4857682107,lamhbg611,40,en
56846358,enzerukristin,548,en
2617742677,snarkyscarlett,38,en
1604640828,JJManring,7583,en
2164876369,RepStevenSmith,9061,en
14258504,KVNDRY,311,en
2191408064,realJamesPierce,132,en
3436249294,AmazingSOP1,984,en
19363186,RIchgard,314,en
15803157,waqaasf,245,en
2476103984,UpInSmokePycsk,125,en
2582736318,Tamaralynn212,3114,en
846829170,ifuaskmee,807,en
2302481323,latinovictoryus,2687,en
27446191,TheXclass,9772,en
155754796,Barnes96,283,en
19134557,flitedocnm,3423,en
351750287,VELDER__,241,en
226837024,Swaggy_C12,329,en
111186722,TimCAdams,529,en
262772157,charliehepker,246,en
2863981279,Moon___Sister,671,en
234642014,LisaVikingstad,22773,en
23769106,CllrMikePowell,1119,en
332396536,ScottWickman,372,en
792299136,believepurposes,6716,nl
63867967,IAMRFER,378,en
2567146231,mesiaindo,4633,en
612057704,ManMet80,1874,en
1967730090,retasue47,91,en
1027419895,Mmezenberg,83,en
14754932,ElleKingMusic,45895,en
93994207,Yousra_Shahy,464,en
379851447,Col_Connaughton,3909,en
41186732,BlueDuPage,17520,en
937704163,GovtsTheProblem,13246,en
2588845725,ExoticFlame,18,en
3069923951,polandmary21,1072,en
3974890185,AgentsOfLogic,81,da
40713876,jamesrbuk,31304,en
395632282,Pichgonz,1233,en
2450439487,QCExaminer,111,en
61538166,johnhenrybourke,338,en
184439365,rixxy_official,1182,en
389782388,ydc226,1889,en
2827929939,dudefindthebox,1213,en
1521024950,vmattyDC,65,en
1074436872,FilthyDonald,2247,en
18456335,WKOW,24544,en
1048446804,AmericaRising,9789,en
50268018,EmmanuelTellier,9068,fr
1416860036,ITownsel,252,en
239223334,BIFFWARD,1279,en
2618013793,dann614,24,en
14096763,TheStalwart,106338,en
2334894821,larios_ester,1335,es
1058673288,Caiosbr,1660,pt
57603422,Sanjay25_,1616,en
2700946206,DefiningAmerica,4857,en
21111896,NorahODonnell,138370,en
596627575,SavichD1,10,ru
17221207,CBS47,15006,en
2205121861,hotdogluver2,335,en
1169438480,OldSalz,37,en
4739835743,hjcampuzano,10,en
2447021562,mgmargarita7236,1874,en
761947260,Judy_Folger,30719,en
284694615,vah1903,1758,en
505980868,coachstaggs,175,en
20440309,VTwinCrucible,9699,en
55304240,jberry2009,2199,en
270537755,VLPacino,510,en
1096721713,Notorious_Nava,2745,en
3308850354,ArmyMcCarthy,55,en
386087710,fernandez_johny,1145,en
85080476,MattTurner4L,4380,en
3682276223,ReeseJob,440,en
518359041,PierreWirawan,439,en
4611371654,Arunkarthikc007,371,en
215331066,jvrgsv,290,pt
548708869,NYI78thm,80,en
120181792,RickCanton,89788,en
566625298,deppevision,828,en
403765458,bobbycblanchard,4312,en
182878105,ProtectthePope,6053,en
322002308,torapocodan,4180,ja
