Id,Label,Followers,Lang
4244457140,SEAAdams2,395,en
3272248910,MencarelliTim,1556,en
318038614,IsThIsThEeArTh,354,en
62447206,Jana_1977,8757,en
714544105,John_Wayne1111,3583,en
3439522222,LjFront,289,en
3108351,WSJ,9920034,en
280664117,PatrickSvitek,8035,en
3598959794,ver_wey,688,en
3314758074,LandmanMarius,13868,en
426209471,mrosenberger71,279,en
3420789009,Watlizzie,162,en
2164905286,lizherpow,287,en
6724252,kerpen,17370,en
2946045317,clssfds,156,en
1430866567,BryantCongerSBA,13,en
1048275546,EltonAJMenezes,297,en
2619163263,az_valentine,2248,en
387465972,joeymogilner,85,en
329380833,afrodigenous,469,en
1699476426,GeraldAPilley,861,en
838760262,Pamsquatch,471,en
20987538,Michael_0000,1242210,en
21866516,Lakecrazy,3367,en
18492940,JohnDrogin,12274,en
999453985,BlissTabitha,58000,en
87284816,Cjlewis99,282,en
31065693,Epigrammist,1193,en
286723230,kevinrns,2327,en
35806119,Darth_Spurious,1613,en
1621415215,JustAlyssa25,419,en
158544247,FLifeforce,346,en
4765070485,josepharmagh,732,en
342737639,jensan1332,10865,en
4559731032,gramakav,13,en
35739414,stevegronka,1273,en
458217937,elle111nyc,3691,en
169347157,Welter89,329,en
12955332,itsmesteph11,653,en
1367531,FoxNews,8196656,en
20094078,mgodard,1029,en
3179489560,MossyFeetBooks,1413,en
23161262,kennykeil,1168,en
431917957,magnifier661,2184,en
2864045942,Shorty7256,1907,en
411150359,HughRillie,475,en
20618180,skorpyos,1907,en
2723265539,LibertyNews1776,13680,en
179988365,ZczZzcz,2495,en
3392623414,AndyWWells,501,en
3430464335,NHNewsAgency,1370,en
2934603574,ShadowWarrior05,167,en
2554580437,m_i_mahdi,152,en
478038088,Anativeamerican,364,en
1357974110,88mary3,67,en
604718963,jazzqt,262,en
89074810,bekunda24,473,en
138409823,lordxmen2k,13875,en
317284206,marylene58,37208,en
118541441,SlackerMedic711,338,en
555503622,JoyKeller1,2977,en
869130710,ole_grandpa,240,en
4834032585,Mong84335973,58,en
19867280,rednett,2132,en
38711343,971FMTalk,5685,en
85386747,BeeAHoney_,3347,en
74177826,UnionWorkers,8611,en
67514751,arrowsmithwoman,4578,en
2326545996,RudeBoyPolitics,1557,en
40074518,DkChoco,1676,en
34929519,cpcllc,4265,en
23025142,janrichardson,1071,en
186278633,sunshinette,256,en
2725911162,bguarino58,2463,en
1292405179,ViewsOnCruz,930,en
30636052,jadysalonga,796,en
3024173603,jstines3Paints,3698,en
22302678,betsy_klein,7078,en
2582736318,Tamaralynn212,3116,en
3385838248,fred_burton15,238,en
472188279,madlaw1071,2814,en
4121225056,CLewandowski_,24634,en
2845681325,jimlibertarian,34696,en
2984955399,itsJordanWagner,204,en
600043184,SkepticalHusky,3690,en
48222529,icecreamnut,259,en
4907385920,AngelOfTruth16,32,en
65828608,sheridantbrown,465,en
1868565306,LeadInPresence,86,en
3836570242,Drunker_Uncle,29,en
478007109,DeepSouthProud,8646,en
4183466843,lilmomma43420,1615,en
29991284,mygirl971,236,en
339423477,BretALarsen,220,en
40018517,LuisLiceaga,2035,es
320027703,TheAmishDude,3063,en
1898619200,Right_In_NC,95,en
2288462990,Ricky_Vaughn99,16473,en
65493023,SarahPalinUSA,1224260,en
31081124,RickMurphyAZ,1659,en
