Id,Label,Followers,Lang
20400268,duff91,1282,en
1609275470,BJCollins131,2382,en
241201438,Bakari_Sellers,23476,en
47680487,SeaDimon,1913,en
16010508,areageek,77,en
92867252,SherriPizza,1413,en
477044182,ashlynshockley,1353,en
613132047,firebrand54,2092,en
473405375,SimsXclusive,484,en
4753127189,AnnaDagworth,5,en
2903513619,etsygrail,50657,en
1307899326,trueblackpower,8420,en
3540252020,RedRising11,8537,en
4905475049,YourFavLiberal,12,en
4741900995,LongtonMiranda,6,en-gb
9215822,astronautgo,146,en
3272794572,bene_dict_auman,210,en
59904613,Elle_Che,7495,en
219501960,shavarjeffries,3094,en
231129000,TroutMaskReplca,2062,en
88244158,k_mcentire,166,en
26638198,stldavis,146,en
4891148586,stream0_,35,en
4763186597,OstelerSophie,30,en-gb
35273913,DavidSeawright,1484,en
373689086,BruceBartlett,17907,en
607614048,greggo1685,35,en
1404087277,LennaLeprena,9776,en
8910722,femfowl,1049,en
1552377961,KellyMcGaha,973,en
3342277071,jeddyrocks33,89,en
40278588,KenSnps,853,en
102149124,ndstarrett,76,en
297690193,JGreenDC,8525,en
4762834907,KyoBernadette,90,en
3321635820,Therealfunmi,217,en
3852028514,TXNRx,365,en
106498703,SquawkStreet,104602,en
3269623717,Chicago4Bernie,2893,en
912993008,bairon_chavez,297,en
3233295030,dropdadgorgeous,93,en
3320557224,RyanHeathAdams,959,en
15649636,JerryLMaine,401,en
2716184392,Bernie2016_PRES,491,en
289976042,mountainkat47,742,en
3300035469,virginia4bernie,2278,en
4924244932,Michaelspolitic,13,en
4734825256,ConnieMillet2,6,en
272750261,John_Mehaffey,1256,en
4762722077,ConstanceJowch1,10,en-gb
2226035878,HypeCoutureMag,53636,fr
238160115,surzua_chile,2897,en
298856575,4nightremember,249,en
14007532,frankthorpNBC,13510,en
27198487,pamatluing,2016,en
210978450,1DimitriRadio,12179,en
3403970817,SirLicksalot201,1013,en
3223914997,SouthSeaGold,514,en
2290340035,FerrerAgnes,1642,en
343257756,GibbsKnotts,248,en
110102112,cocobluesky,3442,ja
15140589,StuartWShulman,1487,en
216123608,acobasi,1421,en
330378192,TheMurdochTimes,22816,en
757345172,AwakeDeborah,7351,en
4378260195,HaroldMargaret6,188,en
22208755,srburris,103,en
1539564943,suekhi,35382,en
842217085,jayabacus,866,en
26822709,happyloner,7875,en
147058193,Crierd,45,en
813345427,super00_,73,en
2868479584,iamTamerah,192,en
2618132900,cheerstoyoutoo1,158,en
470847932,1stCasanovaFly,167,en
492246002,StockTalkTV,1322,en
1149934915,Marnie_was_here,521,en
2896025894,DrugPolRefoRRm,6262,en
47717123,jcharbonneau,4489,en
4156527616,alphawastaken,26,en
241583780,nanblunt,1787,en
346171723,jimmywhiz,3347,en
2513343603,michele_ogle,19,en
15754281,USATODAY,2067354,en
3854080709,Brob588,239,en
1604640828,JJManring,7583,en
311531648,Ahodgelton,51,en
2984505993,SbrownTexan,273,en
4754915955,ScarcliffAudrey,43,en-gb
4650714257,SkipwithJessie,48,en
1411495284,ChrysTrenary,66,en
4756111179,LiveseyCindy,2,en-gb
3436249294,AmazingSOP1,985,en
405574801,miki_iu,187,ja
1214621646,PranethSasankaJ,193,en
857929994,johnclayton_JFC,165,en
1197597816,KeithTT1,135,en
1134857190,zboka,66,en
4764647075,LorraineMaydes2,8,en
3924259581,theRealBethAnn,1662,en
801313932,ProgressiveInga,109,en
887302440,TheRightImageLV,459,en
1328046631,LarryPotter2016,1901,en
486112997,Parksani12,12910,en
1090035818,a__xz,638,en
4764241102,MarilynHakebou1,10,en
527257919,Wickedjulia,1393,en
2863981279,Moon___Sister,671,en
4919719612,StonerdanaLafi2,5,ru
4832971145,INSANEPoliticz,81,en
43300944,SR_utrikes,6240,en
4323508757,sanderswillwin,977,en
2464963872,Haliban85,57,en
4460406316,MikeAtherton89,97,en
14123427,MystikDev,118,en
3075856310,HumanistReport,785,en
516922460,ShadowBau5,40,en
225262425,Liamislove2014,803,en
115915294,elinakolla,686,en
401015653,davidbhirsch,30,en
219952991,Samdeveson,126,en
51664893,ebalagia,809,en
209036391,TomDaviesIND,714,en
188481920,DymondindaScruf,293,en
45949259,JBELLOLEON,13138,en
4863944373,AshM_S1,54,en
19069578,justinmast,299,en
23620605,newacademic,1864,en
1937940871,luigidusmet,9,it
4753337777,JaniceRaynsford,20,en
193365375,Shakestweetz,14303,en
3069923951,polandmary21,1074,en
466319594,bjcrochet,3219,en
378520938,VerenaGlass,1755,en
3367956549,NJLOVESBERNIE,1053,en
4277624481,LaurenAshley087,169,en
22285556,venjeff,131,en
74854742,ruskaj,1605,en
449899721,star9fish,695,en
600558243,emilybaselt,376,en
2184663230,JarrelGTV,9320,en
4250285182,SherredEllen,234,en
296834171,HumphreyBohun,1008,en
3955688181,sarahv230,22,en
17499394,joegarofoli,5252,en
142740168,sandyknauer,2713,en
4528064150,bodet_arnaud,31,en
17794234,willyloman1,652,en
239223334,BIFFWARD,1279,en
116568327,OlegZeltser,13148,en
103711708,shanilsam,1655,en
4577751928,DenisaPreeti,122,en
240811365,FinolaAbad,14,en
89254416,rocketgirl3914,1887,en
77492135,JavyNUSA,169,en
326535864,__AJBADASS,712,en
14736868,LeftWingCracker,2291,en
2700946206,DefiningAmerica,4858,en
53818932,drcme,26,en
4766733263,MalsterRita,7,en-gb
224079521,trevortimm,42601,en
83398196,grantdavis32,306,en
121042274,myfreeweb,484,en
61078567,evpac,10467,en
192042674,MateoTorgy,1237,en
2874007208,CJCA915,423,en
317821968,liberalclass,157,en
4806317423,starinarusik,10,ru
232906886,lyabeer,414,en
4766886375,DonnettJessie,5,en
437389860,MSolihinM,611,en
118713637,AnaRomanik,5193,en
4757439088,MargaretFrevil2,8,en
1096721713,Notorious_Nava,2745,en
15998041,DeniseFlores,3015,en
32168059,artist4ever,1516,en
450753556,just_j_day,63,en
3390263069,AndrewsWinnipeg,189,en
3407130868,blocking_sled,24,en
2432660671,GoldenFinest1,46,en
28170270,FiveMeadows,180,en
4611371654,Arunkarthikc007,370,en
21380922,OhItsRyan,2110,en
179461986,MuradQureshiAM,3965,en
14293310,TIME,9724287,en
19212166,DenisCollette,320,fr
322002308,torapocodan,4181,ja
2900275491,sumdumnut,9,en
4859671248,mp4bernie,658,en
72211922,Languagebandit,15505,en
22697510,LarrynCosmo,1287,en
4919650156,BallaleMaseeker,6,ru
151318625,WkndGirl,2404,en
4756175177,ArdallCandice,8,en
1077970982,4AllSoulKind,312,en
378367309,ProfoundGod,15060,en
4745315602,CourtenayEliza,8,en-gb
19003991,Berlaymont,17866,en
17580892,b140tweet,30064,en
309354920,WPJohnWagner,8536,en
4578123981,EzioLaurent1,124,en
383294284,KirklandReader,2921,en
4833008920,MR_Villarreal_,76,en
4432916014,PpollingNumbers,1734,en
36451741,MrDatare,327,en
18066812,jrzygirlinfla,4287,en
61110947,PoetPeterMoney,270,en
1487944609,joanmjoanh,23,en
25163231,Convertbond,40609,en
2916567633,manderz_mky,280,en
353672532,JokeBlogger,61223,en
14517437,PaulChaseJr,868,en
2207675924,McCueNY,349,en
80196269,rugcernie,2851,en
3253532112,Politicaltwain1,1270,en
394260665,TweetingYarnie,5508,en
49040527,jbest8907,294,en
2791121294,SomeKindaBoogin,2893,en
2690281202,Info24US,19524,es
3238834748,NitaLowrey,1273,en
7825642,kathyf,1129,en
1689823724,ahanprojects,137,en
4747164377,stoke_caroline,13,en-gb
19458818,FriedrichHayek,15282,en
84959697,kgcentral,5049,en
2491964094,cyndiwanek,1849,en
16209626,stefsstuff,6984,en
